Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179)
0.0,0.09583473623878339,3.76,0.0,0.553714648798023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0011795418203243e-21,0.09583473623878339,3.76,0.0,0.5537146487980229,1.0,2.4591747064575014e-47,9.112864759314797e-34,1.658152423215826e-16,1.6581524232157805e-16,2.3033483967033885e-18,5.145899802260446e-35,6.064286101074337e-34,8.398720523556912e-28,4.5055259161034506e-30,1.951366787529114e-43,2.2280281034672942e-37,2.303348395868025e-18,2.1191100415585996e-33,4.45606096365749e-41,1.821165079250003e-23,8.946841318682645e-34,1.8502926980515933e-33,2.7619969229512784e-50
2.803302717096908e-21,0.0958347362387834,3.76,0.0,0.5537146487980225,1.0,2.9195322117616737e-46,5.504170315149526e-33,4.642826785004309e-16,4.642826785004036e-16,6.449375510769473e-18,3.108123480624348e-34,3.662828805012496e-33,2.366241380993386e-27,2.7213376533262993e-29,2.3166626501544202e-42,1.3457301125305476e-36,6.449375508430463e-18,1.2799424651003774e-32,2.70540370172126e-40,5.0992622225045393e-23,5.4038921564843655e-33,1.1175767896231326e-32,4.173929749963947e-49
6.407549067650075e-21,0.0958347362387834,3.76,0.0,0.5537146487980219,1.0,2.8664140386365964e-45,2.650021072793829e-32,1.0612175508581268e-15,1.0612175508579957e-15,1.4741429738901593e-17,1.496427662585897e-33,1.7634943981378124e-32,5.47737857585856e-27,1.3102069364026079e-28,2.2745131275434914e-41,6.479122795427424e-36,1.4741429733555322e-17,6.162372000837163e-32,1.3167368477397998e-39,1.1655456511431745e-22,2.601741455472987e-32,5.380651165933594e-32,4.49012315770337e-48
1.361604176875641e-20,0.09583473623878344,3.76,0.0,0.5537146487980207,1.0,2.535310757026213e-44,1.1573338252442354e-31,2.2550872955735147e-15,2.255087295572942e-15,3.132553819516564e-17,6.535292749785884e-33,7.701643347800161e-32,1.1933247115947878e-26,5.722017913448537e-28,2.0117811032700843e-40,2.829613330966146e-35,3.1325538183804975e-17,2.69126975276367e-31,5.875312058763018e-39,2.476784509895867e-22,1.1362488474727733e-31,2.3498717265250703e-31,4.12719676202751e-47
2.803302717096908e-20,0.09583473623878348,3.76,0.0,0.5537146487980182,1.0,2.1310814568252464e-43,4.831640902690016e-31,4.642826785004277e-15,4.642826785001887e-15,6.449375510769294e-17,2.728356075982095e-32,3.2152844902817935e-31,2.5779360797561055e-26,2.38882984071549e-27,1.6910232362024406e-39,1.181316376064773e-34,6.4493755084304e-17,1.1235521440201935e-30,2.5571066943572585e-38,5.099262231270258e-22,4.743615267166239e-31,9.810251885065473e-31,3.530903722337615e-46
5.686699797539442e-20,0.09583473623878357,3.76,0.0,0.5537146487980134,0.9999999999999999,1.74718933546699e-42,1.9738829645083993e-30,9.418305763865746e-15,9.418305763855982e-15,1.3083018893274442e-16,1.1146224814661427e-31,1.3135486262071516e-30,5.720909456651477e-26,9.759149355295049e-27,1.3864030163578955e-38,4.826132406701931e-34,1.3083018888530095e-16,4.5900771142975705e-30,1.1298799807792078e-37,1.0344217689495066e-21,1.9379216169925298e-30,4.0078079956842245e-30,2.9194194786116805e-45
1.145349395842451e-19,0.09583473623878375,3.76,0.0,0.5537146487980037,0.9999999999999998,1.4149192270848484e-41,7.978750565138661e-30,1.8969263721588466e-14,1.8969263721548995e-14,2.6350305658283475e-16,4.5054822858055585e-31,5.309573563686718e-30,1.3501858772724556e-25,3.944804204774724e-26,1.1227451075697675e-37,1.9508561158515042e-33,2.635030564872905e-16,1.8553825585678245e-29,5.256115739146816e-37,2.0834128667848785e-21,7.833389022894847e-30,1.620020071190841e-29,2.374023435514994e-44
2.2987082280194644e-19,0.09583473623878408,3.76,0.0,0.5537146487979844,0.9999999999999996,1.138850096040306e-40,3.2082205312209033e-29,3.8071179637033035e-14,3.807117963687432e-14,5.288487918829652e-16,1.8116346136375582e-30,2.134956176158957e-29,3.5043767653931167e-25,1.5861884208534322e-25,9.036829391850906e-37,7.844758871817962e-33,5.288487916912518e-16,7.460411664907956e-29,2.667521804729411e-36,4.181395087217267e-21,3.149771273611472e-29,6.514029455175567e-29,1.9147359056475422e-43
4.6054258923734915e-19,0.09583473623878477,3.76,0.0,0.5537146487979456,0.999999999999999,9.138554908588036e-40,1.2866399408722095e-28,7.627501146791866e-14,7.627501146728219e-14,1.0595402624830247e-15,7.265465092889631e-30,8.562129137282803e-29,1.0204762641203498e-24,6.361325007674557e-25,7.251486467262128e-36,3.146461904127237e-32,1.0595402620991042e-15,2.991958752371317e-28,1.514202838180756e-35,8.377359627128613e-21,1.2631991576832117e-28,2.6124171586043405e-28,1.538020007220761e-42
