Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86),CF2(87),F[C]C(F)F(180)
0.0,0.39430702289581754,3.76,0.0,0.9797774907445718,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5893131056220085e-23,0.39430702289581754,3.76,0.0,0.9797774907445718,0.9999999999999997,2.0455461901462034e-53,6.751763501490548e-38,3.6435376532375677e-31,1.3679160313511882e-25,5.620566986412802e-22,2.691734125764004e-20,2.7052886819045546e-38,2.475520737506379e-54,3.924715675358301e-49,1.9603476281752293e-62,4.275936670999385e-78,4.2138757558751697e-38,2.568307155728145e-18,1.1246393576864027e-37,2.044487038901015e-46,1.5659399360172825e-42,9.832200434342857e-62,1.243299029202328e-37,6.693936390230606e-38,7.335077029029348e-37,8.161537579729082e-55,3.2079218255890405e-43,5.039168061637709e-40,5.498994813683073e-58,5.556908892131075e-59,3.1040630082402847e-61,1.6847335448444844e-59,4.7495019397605476e-46,3.958751214315463e-57,2.1794037328870323e-47,2.2207981952083808e-59,9.297477732804592e-58,2.6917341258003935e-20,1.0197348425887262e-39,1.211589668008751e-38,4.203331070063386e-38,4.5716488147383465e-34,1.3746348055607746e-40,5.010107427532397e-38,4.236206967665791e-43,5.711174969290246e-38,1.8874283057385413e-42,4.061856793966836e-16,5.562299553810975e-56,4.403769028726159e-83,5.269874661860116e-64,4.903516268300265e-57,1.175189290261094e-64,1.0517576623523244e-72,1.0848057035264876e-65,6.679824516359864e-75,1.5960552232135188e-90,1.0407383149354304e-41,1.470961985937081e-73,6.126023346619748e-57,1.0713843029965997e-61,1.3184845442057441e-76,6.1793017860287005e-83,1.1309631899674453e-84,2.5683071557281443e-18,5.620566986412802e-22,5.357684152189304e-43
7.250076695741624e-23,0.39430702289581754,3.76,0.0,0.9797774907445718,0.9999999999999988,2.428472436943451e-52,4.078065154903672e-37,1.021671913336447e-30,3.83016488778923e-25,1.5737587561955848e-21,7.536855552139208e-20,1.633994363870351e-37,2.9389382195675716e-53,4.6594224497853623e-48,2.3273247041694898e-61,9.591641034122842e-77,2.5451809565712e-37,7.191260036038806e-18,6.792821720425866e-37,1.2348701715039859e-45,9.458277213544332e-42,1.485835959367489e-60,7.509526136382055e-37,4.04313757969954e-37,4.430386525533723e-36,9.689377414654349e-54,1.937584782924057e-42,3.043657509229177e-39,6.528406642804548e-57,8.397379106333097e-58,3.6851436033827556e-60,2.000115664439353e-58,2.8686991740203027e-45,5.98240868137509e-56,1.3163598546800227e-46,3.355531800561362e-58,1.4046662699520874e-56,7.536855552241098e-20,6.159198449236317e-39,7.318001594772494e-38,2.538811966318011e-37,2.7612758841019565e-33,8.302794225586231e-40,3.0261048862295438e-37,2.5586690084702372e-42,3.4495496814510463e-37,1.1400066966659125e-41,1.1373199023105394e-15,6.603562030285489e-55,1.2419017141205308e-81,6.256395199353965e-63,7.410193784490789e-56,1.3951847254136766e-63,1.2486470624835316e-71,1.2878813313899992e-64,1.8837896040396035e-73,8.259950361880081e-89,6.286059422217395e-41,4.1474822698533604e-72,9.257504908848948e-56,1.2719474445179477e-60,2.951596357721567e-75,1.3822850923274889e-81,3.188736254623673e-83,7.191260036038803e-18,1.5737587561955848e-21,3.2360412279224334e-42
1.6571603875980855e-22,0.39430702289581754,3.76,0.0,0.9797774907445718,0.9999999999999973,2.384288639240181e-51,1.9634128262385238e-36,2.342233691081539e-30,8.754662600688927e-25,3.597162871304194e-21,1.7227098404889603e-19,7.866979486978439e-37,2.885466971637432e-52,4.5746485911975985e-47,2.2849811954006064e-60,1.8974933723238928e-75,1.2253950698423957e-36,1.6437165796660127e-17,3.270451252152051e-36,5.94536830923853e-45,4.5537533339381796e-41,1.5983923984263176e-59,3.615513576920364e-36,1.9465967022794415e-36,2.1330404000417296e-35,9.513088202932167e-53,9.328636672760434e-42,1.4653900723242472e-38,6.409628354828996e-56,9.033440959493012e-57,3.618095842404534e-59,1.9637254198706722e-57,1.3811551676210515e-44,6.435582935836644e-55,6.33770605547467e-46,3.6095426364931326e-57,1.5109489977249083e-55,1.7227098405122494e-19,2.965388922248633e-38,3.5233027545689085e-37,1.2223286751740214e-36,1.3294354753259046e-32,3.9974380145694597e-39,1.4569392399263854e-36,1.2318889861973582e-41,1.6608096810692113e-36,5.488641513085181e-41,2.5995883481375507e-15,6.483416359922719e-54,2.7013833169844142e-80,6.142565908279054e-62,7.971548326816672e-55,1.3698006367761162e-62,1.225929844129208e-70,1.26444952852753e-63,4.0976326091002546e-72,3.606328666820783e-87,3.0264670198433243e-40,9.020976586560886e-71,9.95875260109431e-55,1.2488055435739864e-59,5.8338014547197795e-74,2.7311624074790414e-80,6.935615942307414e-82,1.6437165796660115e-17,3.597162871304194e-21,1.5580145514567868e-41
3.521465823645932e-22,0.39430702289581754,3.76,0.0,0.9797774907445718,0.9999999999999944,2.1088763002051868e-50,8.574739646945416e-36,5.007059173450573e-30,1.8603658026582766e-24,7.643971101521413e-21,3.6607584110390333e-19,3.435716626018776e-36,2.5521628595395686e-51,4.046224872667315e-46,2.0210399907426077e-59,3.3784057062730407e-74,5.3516222103117236e-36,3.492897731790278e-17,1.428291984261723e-35,2.596498539521442e-44,1.9887437187418684e-40,1.469197223016432e-58,1.5789897670869502e-35,8.501299215596811e-36,9.315547826867221e-35,8.41421878319738e-52,4.0740607225413997e-41,6.399743438279903e-38,5.669243693114712e-55,8.303260914952447e-56,3.200164798974685e-58,1.7368928953927452e-56,6.031867499741639e-44,5.915402464738735e-54,2.7678427410115148e-45,3.317724369322542e-56,1.3887764546655577e-54,3.660758411088522e-19,1.29506325008832e-37,1.5387188783705564e-36,5.338230458976249e-36,5.805993994717632e-32,1.7457862030608674e-38,6.362836432965778e-36,5.379982848937049e-41,7.253192210994554e-36,2.397033948285366e-40,5.5241252397887756e-15,5.734508347995761e-53,5.007891578078556e-79,5.4330299864172385e-61,7.327226289160352e-54,1.2115731507870234e-61,1.084322395751459e-69,1.1183912891421489e-62,7.596304608988214e-71,1.3425029892470416e-85,1.3217376599794583e-39,1.6722854429040196e-69,9.153791717624292e-54,1.1045543610197544e-58,1.0382526885031801e-72,4.8599575786615924e-79,1.2857034137348686e-80,3.4928977317902714e-17,7.643971101521413e-21,6.804258873281818e-41
7.250076695741625e-22,0.39430702289581754,3.76,0.0,0.9797774907445718,0.9999999999999886,1.7726375996634876e-49,3.579785008537468e-35,1.043151784570403e-29,3.830164887874825e-24,1.5737587561955848e-20,7.53685555213916e-19,1.4343440591457872e-35,2.1452466627912147e-50,3.401095808814555e-45,1.6988058890129213e-58,5.699735699080693e-73,2.2341969260802467e-35,7.191260036038807e-17,5.962837874453236e-35,1.0839870281303118e-43,8.302613540762906e-40,1.2569288624724467e-57,6.591971452830688e-35,3.549125074103818e-35,3.889057840791315e-34,7.072657881991744e-51,1.7008401555509675e-40,2.671766906280324e-37,4.7653409216207527e-54,7.103603976633911e-55,2.6899313379315934e-57,1.4599631342252865e-55,2.5181859609447856e-43,5.060748676016002e-53,1.1555198593962606e-44,2.83835741605685e-55,1.1881099502361526e-53,7.536855552241048e-19,5.4066341354111675e-37,6.423848419777384e-36,2.2286061333437818e-35,2.423888201574211e-31,7.28831373907138e-38,2.656358958077349e-35,2.246036934257742e-40,3.0280649687140384e-35,1.0007144877002506e-39,1.1373199023080028e-14,4.8201997965353744e-52,8.607272416849811e-78,4.566789073051692e-60,6.268596354990612e-53,1.0184002360912446e-60,9.114405457603459e-69,9.400752676533736e-62,1.3056094730562013e-69,4.625061320511553e-84,5.517994545890806e-39,2.8741923119029806e-68,7.8312547953156825e-53,9.284444948322956e-58,1.7512942265700568e-71,8.1970288027464525e-78,2.2097627326537197e-79,7.191260036038783e-17,1.5737587561955848e-20,2.840644137492022e-40
1.470729843993301e-21,0.39430702289581754,3.76,0.0,0.9797774907445717,0.9999999999999769,1.4533154024760722e-48,1.4624589815168036e-34,2.165966602027249e-29,7.769763058459043e-24,3.1924820482824716e-20,1.5289049834339324e-18,5.859763496552476e-35,1.758802824500375e-49,2.7884238296197175e-44,1.3927837053400112e-57,9.363095160447065e-72,9.127423444924813e-35,1.458798464453586e-16,2.436013834322994e-34,4.428440706628265e-43,3.3918885390102613e-39,1.0392529752685353e-56,2.6930354292133632e-34,1.4499333978725157e-34,1.5888070247958338e-33,5.798592243647406e-50,6.948487021715831e-40,1.0915039588229829e-36,3.9069143973163683e-53,5.873393013342809e-54,2.2053682296412787e-56,1.1969659846949509e-54,1.028761145605993e-42,4.1843238254467306e-52,4.720675663437691e-44,2.3467987784153958e-54,9.823454226876257e-53,1.5289049834546002e-18,2.208786458445745e-36,2.6243516844894304e-35,9.104583230967707e-35,9.902374198675333e-31,2.977513974226829e-37,1.0852093092329494e-34,9.175793740254123e-40,1.237063343045054e-34,4.0882452073422335e-39,2.307134658961775e-14,3.9518910173993454e-51,1.4265912072633147e-76,3.7441296038184528e-59,5.182996689070893e-52,8.349460428556684e-60,7.472576930135219e-68,7.707305030152686e-61,2.163951009502653e-68,1.5348791095598047e-82,2.2542808197700768e-38,4.763732607469925e-67,6.475030271353989e-52,7.611948911209452e-57,2.8766106048274597e-70,1.346364442264938e-76,3.6624938445093923e-78,1.4587984644535765e-16,3.1924820482824716e-20,1.160495818101869e-39
2.9621741928315777e-21,0.3943070228958176,3.76,0.0,0.9797774907445715,0.9999999999999535,1.1769324927024946e-47,5.911493030531627e-34,4.5632885689655475e-29,1.5648959400231957e-23,6.429928632456245e-20,3.079343839873931e-18,2.3686100948641146e-34,1.424324127322969e-48,2.258137911995673e-43,1.1279123549380273e-56,1.5178996561452543e-70,3.6894504925004256e-34,2.9381433861529978e-16,9.846757403435638e-34,1.790046538664679e-42,1.371055579099555e-38,8.451032145843935e-56,1.0885679784200003e-33,5.8608626186183505e-34,6.422212022612268e-33,4.695850337561628e-49,2.8086895637099877e-39,4.41203351803084e-36,3.1639205725428996e-52,4.776144024024053e-53,1.785964370394216e-55,9.693340878444811e-54,4.158417149888894e-42,3.4026222299385865e-51,1.9081725810461532e-43,1.9083738278289594e-53,7.988242698405468e-52,3.079343839915554e-18,8.92826801962872e-36,1.0608049106422342e-34,3.680218111705212e-34,4.002697976446105e-30,1.2035587547308729e-36,4.386589537958848e-34,3.7090025381351446e-39,5.000407821986715e-34,1.6525340782165823e-38,4.6467641722514067e-14,3.200343805574518e-50,2.3228331113137197e-75,3.0320932391731553e-58,4.214726830520471e-51,6.761609531974785e-59,6.05154592061254e-67,6.241575465317113e-60,3.523432504088577e-67,5.001164168983788e-81,9.112163502369278e-38,7.756479711825133e-66,5.265386039782388e-51,6.164353581460939e-56,4.663193920146779e-69,2.1825147796944842e-75,5.963401325413325e-77,2.9381433861529573e-16,6.429928632456245e-20,4.6909096440897215e-39
5.945062890508131e-21,0.3943070228958176,3.76,0.0,0.9797774907445712,0.9999999999999067,9.472976609897435e-47,2.376985348020268e-33,9.964701830940468e-29,3.140735208619571e-23,1.2904821800803792e-19,6.180221552753791e-18,9.52407701619182e-34,1.1464199710680637e-47,1.8175458451321796e-42,9.07841989407442e-56,2.444612125026776e-69,1.483511817139617e-33,5.896833229551819e-16,3.9593378443088775e-33,7.197698405842354e-42,5.512954182342193e-38,6.816063404584185e-55,4.377083964267642e-33,2.3566270819462997e-33,2.582343208377637e-32,3.7796288814155155e-48,1.129361730782411e-38,1.7740592727718564e-35,2.5465985316514717e-51,3.852132534036552e-52,1.4374995006789256e-54,7.802044040564548e-53,1.672081338741667e-41,2.7443379324433973e-50,7.672678030136216e-43,1.539171050816637e-52,6.442796335979415e-51,6.180221552837313e-18,3.590017302759742e-35,4.265449889783206e-34,1.4797995165184827e-33,1.6094672518235496e-29,4.8394568183019955e-36,1.7638283602906355e-33,1.4913736078021493e-38,2.0106419926178887e-33,6.644766847353477e-38,9.326023198759018e-14,2.5759151183301455e-49,3.7490613298302894e-74,2.440492445779272e-57,3.3993298777792374e-50,5.442331602171966e-58,4.870906220775984e-66,5.023762981974754e-59,5.686833672155608e-66,1.6148430731808576e-79,3.6639608678454946e-37,1.2518970538412215e-64,4.246724178178023e-50,4.961608049098861e-55,7.509997597715269e-68,3.514872769517985e-74,9.624937492733203e-76,5.896833229551656e-16,1.290482180080379e-19,1.8861941365218892e-38
1.1910840285861238e-20,0.39430702289581765,3.76,0.0,0.9797774907445707,0.9999999999998131,7.601467143016666e-46,9.532774379320305e-33,2.319460566728275e-28,6.292413746779488e-23,2.5854608137498875e-19,1.238197697851296e-17,3.819580858248593e-33,9.199298277741674e-47,1.4584660756789248e-41,7.284860226018398e-55,3.9242091846920795e-68,5.9495459108096886e-33,1.1814212916349457e-15,1.5878715612809552e-32,2.886598988061296e-41,2.210941200019889e-37,5.475032727916165e-54,1.755406439536333e-32,9.451128625909784e-33,1.0356351246822263e-31,3.0329141446226133e-47,4.5292457422726285e-38,7.114771151218345e-35,2.0434849424768063e-50,3.094242080388772e-51,1.1535028187336563e-53,6.260648986973819e-52,6.705794764169996e-41,2.2044014052362074e-49,3.077087063992874e-42,1.2363452626930739e-51,5.17520008549502e-50,1.2381976978680237e-17,1.4397575058680879e-34,1.710636182700733e-33,5.934657917661985e-33,6.454683531633409e-29,1.9408386341085068e-35,7.073740616273478e-33,5.981075200466218e-38,8.063573671924979e-33,2.6648487001966572e-37,1.8684541251487634e-13,2.0670096569684893e-48,6.024640370560379e-73,1.9583415241812993e-56,2.7305266213209496e-49,4.36712837125711e-57,3.908748894410985e-65,4.031253476011872e-58,9.138588569256848e-65,5.190764727531249e-78,1.469412182896828e-36,2.0117634443932922e-63,3.4111996413032606e-49,3.981377988398428e-54,1.2055263483388437e-66,5.642149221979327e-73,1.5467003162682917e-74,1.1814212916348808e-15,2.585460813749887e-19,7.564482108427819e-38
