Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86)
0.0,0.1758867784023033,3.76,0.0,0.6921635145501668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.931517616521281e-23,0.1758867784023033,3.76,0.0,0.6921635145501668,0.9999999999999997,1.6720316508036807e-53,1.9756298634629625e-38,7.5912407706912014e-34,8.498515033586963e-29,7.000395665105797e-49,1.5837409228858745e-21,6.71760393431405e-40,2.5990439498923737e-55,8.30276008342034e-50,1.0177165043824575e-65,1.3853229520247962e-101,1.2946946459836026e-38,5.3806529066790274e-20,1.6188561834129132e-39,6.556470495863559e-63,1.8801448351368254e-46,2.174932397709256e-84,2.3163459379968069e-38,1.9754610453609126e-38,5.8579134834159654e-39,7.418432618029872e-59,2.2867894313617734e-55,1.2516081229575577e-57,5.327459310048163e-78,6.452654149746582e-79,2.686538275177709e-80,1.8204322869666368e-78,4.451284082317349e-57,6.5460661204870565e-59,2.780343608348728e-62,6.435968500148092e-83,1.0994681795286904e-80,1.5837409228865966e-21,1.3964690450151468e-40,1.825528460881729e-39,1.2946943772819433e-38,3.7113725956440386e-35,6.89544438518737e-59,1.1209770946489038e-37,2.0011935775249058e-57,4.1880175375175117e-39,2.0546062824042954e-46,3.9999999275554586e-16,3.505119554052749e-57,4.482257318536136e-109,2.2214267307813848e-79,9.773899449043095e-60,5.385080614661183e-78,7.762689543545697e-90,6.560672741356896e-82,5.079117684299126e-75,1.642602499192517e-120,6.425579890697766e-60,-4.566484736089721e-95,1.6773676543048554e-58,-1.1121734961840782e-91,6.066497602596076e-94,5.705454054380435e-105,2.5869097088866108e-111,5.380652906679024e-20
2.7808249326259588e-22,0.1758867784023033,3.76,0.0,0.6921635145501668,0.9999999999999989,1.985035975835163e-52,1.1932804375323073e-37,2.2457979129796667e-33,2.379584210290588e-28,4.427842966419215e-48,4.434474584080447e-21,4.057432776325685e-39,3.085584977312223e-54,9.857036771036022e-49,1.2082330340021941e-64,8.427595554762923e-100,7.819955661784145e-38,1.506582813870128e-19,9.777891347813985e-39,9.908140141385653e-62,1.1356074804226383e-45,6.1646091190773686e-83,1.3990729465500701e-37,1.1931784713980382e-37,3.538179743983239e-38,8.807163204125037e-58,3.455796188673906e-54,1.8914301954134597e-56,1.5024287647825413e-76,1.819751712694927e-77,7.576467782125113e-79,5.133910318411818e-77,6.7267805051979595e-56,9.892415121280044e-58,4.2016552609365895e-61,1.8150460925378134e-81,3.100676181179639e-79,4.4344745840824685e-21,8.43467303191082e-40,1.1026191903721419e-38,7.819954038777998e-38,2.2416690477689926e-34,8.186271574080019e-58,6.770701651679323e-37,3.024203734355635e-56,2.5295625926600916e-38,1.2409821945709748e-45,1.1199999797144687e-15,4.161277934570616e-56,2.141228551553924e-107,6.984521072700097e-78,1.4770316847393912e-58,1.518678904482421e-76,2.1892026543572294e-88,2.0627804810253803e-80,1.4323924528552317e-73,1.2675056769688998e-118,7.628448446295618e-59,4.5119791742765516e-94,2.5348379991855313e-57,1.0988985933328448e-90,3.170583009692128e-92,2.9533073356240625e-103,1.3390589683193304e-109,1.5065828138701258e-19
6.35617127457362e-22,0.1758867784023033,3.76,0.0,0.6921635145501668,0.9999999999999974,1.948920092179971e-51,5.7451316429604606e-37,5.700147573545275e-33,5.439049627699323e-28,2.3351210364557337e-47,1.0135941906469582e-20,1.9534792240985234e-38,3.0294456279945414e-53,9.677697153232867e-48,1.1862503575061481e-63,3.804619480897021e-98,3.7649720305850935e-37,3.4436178602745777e-19,4.707633781364735e-38,1.0658729318236389e-60,5.4674611805778274e-45,1.3426113884096551e-81,6.7359339876946905e-37,5.7446407199102394e-37,1.703481240977356e-37,8.646925059575535e-57,3.717587842776191e-53,2.034714293329635e-55,3.268110734895518e-75,3.95835745860708e-76,1.6480472333699362e-77,1.1167376328834392e-75,7.23636350694161e-55,1.0641808770753398e-56,4.519948997220338e-60,3.94812170692958e-80,6.744647966464291e-78,1.01359419064742e-20,4.060931982933044e-39,5.308636764237732e-38,3.76497124912848e-37,1.0792671508132757e-33,8.037329975329677e-57,3.25980139123893e-36,3.2533003751106772e-55,1.2178754999093642e-37,5.9747950692134e-45,2.5599999536280756e-15,4.0855673522013755e-55,1.1149333358630567e-105,1.5582082297462986e-76,1.5889232856320317e-57,3.3034583435479856e-75,4.761993955117204e-87,4.6019497800697565e-79,3.115766458609163e-72,1.3813896893544786e-116,7.489655920780935e-58,2.4885588281497336e-92,2.7268630482504347e-56,6.060918479567787e-89,1.3849603288879735e-90,1.2895295633652577e-101,5.846855509781507e-108,3.443617860274567e-19
1.3506863958468942e-21,0.1758867784023033,3.76,0.0,0.6921635145501668,0.9999999999999946,1.7237977507192838e-50,2.5090499266084667e-36,1.453285484965452e-32,1.1557980476696613e-27,1.1984364257461669e-46,2.153887655124782e-20,8.531356996578821e-38,2.67951035058102e-52,8.559813535599084e-47,1.0492250073538453e-62,1.436551924369892e-96,1.644262200466112e-36,7.317687953083478e-19,2.0559473529343812e-37,9.797216479460254e-60,2.387783940623708e-44,2.490254091482767e-80,2.941759341255919e-36,2.5088355276090895e-36,7.439550123938207e-37,7.648107291883899e-56,3.417103711495238e-52,1.870252985973003e-54,6.058526519919013e-74,7.338127616736625e-75,3.0552018212962614e-76,2.0702433648816184e-74,6.651464778525055e-54,9.781655682521403e-56,4.154611847083295e-59,7.319152258183325e-79,1.2503440638050546e-76,2.1538876551257624e-20,1.7735156871991996e-38,2.318421145313249e-37,1.64426185914041e-36,4.713443196467819e-33,7.108927343258863e-56,1.4236409102040236e-35,2.9903435390238937e-54,5.318782272639718e-37,2.609349978634557e-44,5.439999901438333e-15,3.6136380554409527e-54,4.449406790162566e-104,2.9183515648438003e-75,1.4604942468715983e-56,6.124055033208843e-74,8.827934243269215e-86,8.6189426314532975e-78,5.77610590663095e-71,1.130062536633762e-114,6.624515844499374e-57,9.794107011003283e-91,2.5064569384749214e-55,2.3853679287135786e-87,5.1564320357297316e-89,4.800595240800631e-100,2.1766377081465999e-106,7.317687953083431e-19
2.780824932625959e-21,0.17588677840230332,3.76,0.0,0.6921635145501668,0.9999999999999888,1.4489558760922506e-49,1.0474789536175165e-35,3.989430122178489e-32,2.3795842231410445e-27,6.496085368138619e-46,4.434474584080417e-20,3.561673605973287e-37,2.2522899022734917e-51,7.195039044123566e-46,8.819368392259786e-62,4.984065971186249e-95,6.864471013607492e-36,1.5065828138701277e-18,8.583175484455093e-37,8.381738486610503e-59,9.968527915894908e-44,4.281184439804684e-79,1.228126616325883e-35,1.0473894462510136e-35,3.105865728907083e-36,6.4286950118624754e-55,2.923404167579655e-51,1.6000408050914346e-53,1.041305912752525e-72,1.2612366473461571e-73,5.251111323369156e-75,3.558219394765787e-73,5.69046815542531e-53,8.36841237563721e-55,3.554357904789637e-58,1.2579752680336559e-77,2.1490219813919921e-75,4.434474584082431e-20,7.404078876939974e-38,9.678951899536006e-37,6.864469588279943e-36,1.9677697502103695e-32,5.9754817769228375e-55,5.943420555827732e-35,2.5583018551848664e-53,2.2204868983850156e-36,1.0893522509137495e-43,1.1199999796991028e-14,3.0374805236196834e-53,1.581389237852322e-102,5.040726588158016e-74,1.2494835768863054e-55,1.0525685902657738e-72,1.517296341997749e-84,1.4887080019733193e-76,9.927650252057654e-70,8.133142149363501e-113,5.568304724700033e-56,3.460478900421769e-89,2.1443266808519609e-54,8.4280428810738e-86,1.7765621428398048e-87,1.6538778478543544e-98,7.498846929881644e-105,1.506582813870108e-18
5.641102006184088e-21,0.1758867784023033,3.76,0.0,0.6921635145501668,0.9999999999999772,1.1879415694578955e-48,4.2792933095353595e-35,1.2140132124569104e-31,4.8271565967715174e-27,3.873836365880758e-45,8.995648441991632e-20,1.4550598825881414e-36,1.846563339508049e-50,5.898927714315332e-45,7.230651051700788e-61,1.6599020615374248e-93,2.804360391496384e-35,3.0562108509936883e-18,3.506507247519563e-36,6.93020583060563e-58,4.072468918699312e-43,7.096656471303452e-78,5.017297955538403e-35,4.2789276426991213e-35,1.2688474921617798e-35,5.270632576117471e-54,2.417127098848415e-50,1.3229446794049432e-52,1.7258881846250204e-71,2.0904072482570521e-72,8.703331920200428e-74,5.897487699360742e-72,4.704989113770043e-52,6.919165181405059e-54,2.938811850222557e-57,2.0850017512258346e-76,3.561846332342286e-74,8.995648441995704e-20,3.0248078104929266e-37,3.954167667358377e-36,2.8043598089094307e-35,8.038981497067972e-32,4.899060983973968e-54,2.428081226092673e-34,2.1152534465739568e-52,9.071413506907129e-36,4.450359391795003e-43,2.2719999587825137e-14,2.4903100500984645e-52,5.326557019643727e-101,8.375242625536116e-73,1.0330971840128379e-54,1.7445552469179509e-71,2.514807414522407e-83,2.473510611971398e-75,1.6454352233352098e-68,5.512908577894091e-111,4.5652326367260995e-55,1.1625762320065594e-87,1.7729707669410366e-53,2.8314700415235173e-84,5.8959149934038924e-86,5.48861758004521e-97,2.488593891188207e-103,3.056210850993608e-18
1.1361656153300346e-20,0.1758867784023033,3.76,0.0,0.6921635145501668,0.9999999999999541,9.620258824294556e-48,1.7297587757611136e-34,4.075518704120689e-31,9.722301434783283e-27,2.5521707556862516e-44,1.8117996157813859e-19,5.881584689480643e-36,1.49539486772115e-49,4.777104603071343e-44,5.855568688844403e-60,5.41819679086778e-92,1.1335673083212179e-34,6.155466925240808e-18,1.4173862936746903e-35,5.635564659225293e-57,1.6461570501140018e-42,1.155585838024153e-76,2.0280720533210627e-34,1.7296109673482388e-34,5.128884434577456e-35,4.268294910516976e-53,1.9655676141524727e-49,1.0757966423828327e-51,2.8101615013494338e-70,3.403686301074063e-71,1.417111984049038e-72,9.602529894498847e-71,3.826019008835752e-51,5.626550214931291e-53,2.389792990048809e-56,3.3948848504456694e-75,5.799543403818964e-73,1.8117996157821996e-19,1.2226756796127316e-36,1.5983377928270432e-35,1.1335670725924536e-34,3.2494848533702553e-31,3.967386601312664e-53,9.814692532651338e-34,1.7200889735136498e-51,3.6668103788912493e-35,1.7989064212280675e-42,4.57599991684082e-14,2.016717644204251e-51,1.7482310141479536e-99,1.365375931063257e-71,8.400974727953673e-54,2.840555973398104e-70,4.0947119562371617e-82,4.032446583208824e-74,2.67916470995378e-67,3.629946558454881e-109,3.697043751867158e-54,3.8110861632274066e-86,1.441750382923811e-52,9.281951582838075e-83,1.9211228917221e-84,1.7883861286638567e-95,8.108720875471124e-102,6.155466925240485e-18
2.2802764447532862e-20,0.17588677840230327,3.76,0.0,0.6921635145501668,0.9999999999999081,7.743221245674453e-47,6.955283960049965e-34,1.472399005218957e-30,1.951259147381009e-26,1.8194009903415884e-43,3.6362691589457476e-19,2.3649593354908734e-35,1.203623885955133e-48,3.8450293832431e-43,4.713071103565947e-59,1.751067577668413e-90,4.558024292374264e-34,1.235397907373505e-17,5.699247947951531e-35,4.545345730811808e-56,6.619125097889561e-42,1.8652009508346657e-75,8.154788528553933e-34,6.954689628672081e-34,2.062301873490179e-34,3.435495077248217e-52,1.5853014883907253e-48,8.676689654914888e-51,4.53561199289593e-69,5.493563412563246e-70,2.2872244556193996e-71,1.5498521964203722e-69,3.0858229376827933e-50,4.5380165841217365e-52,1.9274546226707433e-55,5.4793578357748705e-74,9.360486435762223e-72,3.636269158947356e-19,4.9163251332609696e-36,6.426845967339741e-35,4.55802334260686e-34,1.3066035677863055e-30,3.193297891179094e-52,3.946444700790999e-33,1.3873140716410764e-50,1.4744083261149605e-34,7.233323600494873e-42,9.183999832523379e-14,1.6232298105034026e-50,5.6652573632257084e-98,2.2050857851106135e-70,6.775690464304076e-53,4.5846687934910027e-69,6.608881615566431e-81,6.51241201553317e-73,4.3241826434302765e-66,2.356229333094629e-107,2.9757024486454445e-53,1.2342839407808028e-84,1.1628239148236903e-51,3.006115130207403e-81,6.203229425910382e-83,5.774590438600155e-94,2.618256834264644e-100,1.2353979073733743e-17
4.568498103599789e-20,0.1758867784023033,3.76,0.0,0.6921635145501668,0.9999999999998159,6.2134473990622045e-46,2.789379950874375e-33,5.57227742072822e-30,3.909317300387682e-26,1.3658673740813881e-42,7.285208245274137e-19,9.484544689233394e-35,9.658323668942171e-48,3.08539392853388e-42,3.781942741474454e-58,5.631170907410983e-89,1.827971605237651e-33,2.475100337072353e-17,2.285653332222812e-34,3.6511631328753244e-55,2.6545652118582283e-41,2.9974461191105416e-74,3.2704349317809765e-33,2.7891415972087446e-33,8.270752899751315e-34,2.756768439567891e-51,1.2734003678685251e-47,6.969588989451852e-50,7.288606710794746e-68,8.82800892530038e-69,3.6755082979800565e-70,2.49057087274202e-68,2.478700797796396e-49,3.645181708295246e-51,1.548236372407836e-54,8.805180944794606e-73,1.5042050413232824e-70,7.285208245277261e-19,1.9716662670696874e-35,2.5774526804800563e-34,1.8279712228045154e-33,5.240064699549724e-30,2.5624204501671327e-51,1.582700834068795e-32,1.1143661077176556e-49,5.913036832807812e-34,2.9008862817150404e-41,1.839999966215227e-13,1.3025396954510376e-49,1.8243100930973848e-96,3.5446110275853783e-69,5.4426030587826566e-52,7.367439672473244e-68,1.0620295366741812e-79,1.0468512152660216e-71,6.948845422133183e-65,1.5186517062388577e-105,2.3878138144202376e-52,3.973449153409453e-83,9.340434054654668e-51,9.677388828066436e-80,1.9939790964948865e-81,1.8561904967745365e-92,8.416152635505476e-99,2.4751003370718283e-17
