Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86),CF2(87),F[C]C(F)F(180),CH2F(89),C2HF(510),C2HFO(390),C2H2(70),HCCO(68),C2HFO3(2756),C2HFO2(557),CH2CO(75)
0.0,0.09023074779831342,3.76,0.0,0.7636088512479409,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.338202762289876e-22,0.09023074779831339,3.76,0.0,0.7636088512479409,0.9999999999999996,4.515178103789009e-53,2.3434500588995608e-38,1.4054346578884082e-34,7.414423092125292e-30,5.52449076903411e-25,8.646033894012749e-22,4.370072093732871e-40,2.7113131448681726e-55,9.223093374717544e-50,1.5785657146598322e-66,2.0936537851496957e-78,1.3761969485664963e-27,2.088528680193412e-20,7.047976827930343e-40,1.909174258631565e-43,6.47656373766749e-47,3.830237763762637e-65,2.486596417720828e-38,2.3434079532513035e-38,2.05077617776457e-39,4.1595147399098872e-53,1.419132280066712e-47,2.5035949295279644e-43,1.3329793961542617e-64,1.5592387291674105e-62,2.4208445883484626e-66,1.7857060046247477e-64,8.387222773906828e-52,6.5067111334498385e-59,3.161936959519473e-51,3.0409622335596215e-64,3.7400542230342555e-62,8.646033894013856e-22,2.086332251477238e-40,2.7216301876697757e-39,1.532654076268226e-38,2.941070326723692e-35,4.637099051797575e-43,3.3768967761580442e-37,2.6456552521789783e-46,3.031638337322863e-39,3.516624727374823e-45,4.3011626233552976e-16,4.544498009252389e-57,2.5883478843007313e-85,2.1904953356523792e-69,3.111538460375562e-60,3.286746895858033e-66,1.9152938949098145e-79,1.5027367363296342e-72,2.9734099383185424e-74,1.2172862862678841e-91,2.7133427806614584e-44,2.160760311744707e-76,1.8656499632579863e-58,1.6439935580905436e-66,3.425770565803555e-79,3.2704781381192405e-92,5.32747973378416e-94,2.088528680193409e-20,5.52449076903411e-25,1.2329180726965725e-47,1.3761969485513194e-27,7.358341145296396e-86,5.6464392119469194e-89,6.137893841191451e-113,1.2207119945485754e-97,2.5623913186134162e-105,5.3407473058578886e-104,1.7056046010546068e-113
3.7469677344116527e-22,0.09023074779831339,3.76,0.0,0.7636088512479409,0.9999999999999988,5.3604194448214465e-52,1.4154438355762384e-37,4.888131681675796e-34,2.0760384748339955e-29,1.5468574153295507e-24,2.420889490323569e-21,2.6395235446146538e-39,3.2188709655876196e-54,1.0949656454461563e-48,1.874073216441917e-65,6.582765548034027e-77,3.85335145603536e-27,5.847880304541554e-20,4.256978004069919e-39,1.1531412522134648e-42,3.911844497550822e-46,5.045431480561776e-64,1.5019042363033781e-37,1.4154184037638431e-37,1.238668811369798e-38,4.9381758992154654e-52,8.571559074626407e-47,1.5121713374348948e-42,1.5825131391143437e-63,2.3563203410997028e-61,2.8740266952872986e-65,2.1199901686904982e-63,5.065923487942042e-51,9.832941709586027e-58,1.9098099243339521e-50,4.595499603652267e-63,5.6519629612844965e-61,2.4208894903238774e-21,1.2601446799050268e-39,1.643864633350523e-38,9.257230620647709e-38,1.7764064773411036e-34,2.8008078272785205e-42,2.0396456527994422e-36,1.5979757723428516e-45,1.8311095557424394e-38,2.1240413353277787e-44,1.2043255345371171e-15,5.3952280365827415e-56,7.299551504825008e-84,2.6005560920304756e-68,4.702156921319527e-59,3.902025916229655e-65,2.502503615011958e-78,1.7840490746884912e-71,8.385477965181378e-73,6.301018964249264e-90,1.6388590395893551e-43,6.093684444098371e-75,2.819365411812928e-57,1.9517491521707054e-65,7.666405512778465e-78,7.315928775848388e-91,1.5024328403580986e-92,5.847880304541538e-20,1.5468574153295507e-24,7.446825159213587e-47,3.853351455943693e-27,1.6460314808382248e-84,1.332746867838707e-87,3.943726141266823e-111,7.426186770292555e-96,1.1142806712872706e-103,2.3224756694775072e-102,1.884740568197492e-111
8.564497678655207e-22,0.09023074779831339,3.76,0.0,0.7636088512479409,0.9999999999999972,5.2628915977861846e-51,6.814752771293476e-37,1.5665184287603538e-33,4.7452308422325824e-29,3.535674092181831e-24,5.5334616921681514e-21,1.2708169648575171e-38,3.1603066016587256e-53,1.0750437637561121e-47,1.839976197000566e-64,1.4685777165897163e-75,8.807660471169762e-27,1.336658355323784e-19,2.0495516615621303e-38,5.55187874410058e-42,1.8833847349131913e-45,5.171931092034035e-63,7.231022382732126e-37,6.8146303280556215e-37,5.963657124939333e-38,4.8483303808217434e-51,4.126836822025671e-46,7.280454055067375e-42,1.5537207841574187e-62,2.534821475719189e-60,2.821736452178975e-64,2.081418918990597e-62,2.4390646119055137e-50,1.0577829934924282e-56,9.194912689821429e-50,4.9436279001950205e-62,6.080121436900135e-60,5.533461692168852e-21,6.067054187487432e-39,7.914500585713372e-38,4.456958053769432e-37,8.552632510112388e-34,1.3484684042519118e-41,9.820015825067339e-36,7.693565473730056e-45,8.81600428492633e-38,1.0226344707106765e-43,2.7527440789308275e-15,5.297066879579331e-55,1.5878116141854143e-82,2.5532414530847028e-67,5.058365844263288e-58,3.831032186275974e-64,2.934661778574023e-77,1.7515900046421637e-70,1.8240235632841887e-71,2.7512705135286634e-88,7.890400807211031e-43,1.3255090170238842e-73,3.032942998288471e-56,1.916238891327109e-64,1.515026082327914e-76,1.4455042421642171e-89,3.2681183120831857e-91,1.3366583553237752e-19,3.535674092181831e-24,3.585325755587455e-46,8.807660470728428e-27,3.2522808261085253e-83,2.6948752922232024e-86,2.4131315700173763e-109,3.352535687252046e-94,4.514055857749565e-102,9.408567491550628e-101,1.705171546682094e-109
1.8199557567142316e-21,0.09023074779831342,3.76,0.0,0.7636088512479409,0.9999999999999941,4.6549680179027145e-50,2.976181574816446e-36,5.246592373287046e-33,1.0083615721652374e-28,7.513307445886391e-24,1.1758606095857293e-20,5.549991559040727e-38,2.795255399834096e-52,9.508640345578521e-47,1.6274381091711365e-63,2.7504827614728384e-74,1.871627850222528e-26,2.84039900506304e-19,8.950930571471392e-38,2.4246513084620734e-41,8.22523594683239e-45,4.661209611700852e-62,3.157977450505407e-36,2.976128100630011e-36,2.604485745760965e-37,4.28829331622133e-50,1.8022981509558064e-45,3.1795655605005696e-41,1.3742484382592198e-61,2.3299374944424068e-59,2.495793936803742e-63,1.8409914625279092e-61,1.0652389834146579e-49,9.722848090436019e-56,4.0156599504085995e-49,4.544045437468498e-61,5.588678242187635e-59,1.175860609585876e-20,2.649641959574101e-38,3.456470338309266e-37,1.9464706768414574e-36,3.735159314938971e-33,5.889115795671081e-41,4.28865890572045e-35,3.359982170670442e-44,3.850180688391195e-37,4.4661134036634966e-43,5.8495811676803905e-15,4.6851956676078095e-54,2.9435349283785044e-81,2.2583132582070638e-66,4.6495096905698905e-57,3.3885045890440385e-63,3.442529780171074e-76,1.5492616004430747e-69,3.381431500921916e-70,1.0242288872836132e-86,3.445945332522478e-42,2.457269995603318e-72,2.78779654498982e-55,1.694891598683739e-63,2.6961314912460287e-75,2.572197565937563e-88,6.058539617279323e-90,2.8403990050630024e-19,7.513307445886391e-24,1.5658059525149773e-45,1.871627850029786e-26,5.787259961362326e-82,4.845716483035972e-85,1.3869572672439937e-107,1.2658536858243257e-92,1.6284335677231943e-100,3.394115538308287e-99,1.290499534379811e-107
3.746967734411653e-21,0.09023074779831342,3.76,0.0,0.7636088512479409,0.9999999999999879,3.912781101930904e-49,1.2424972212411508e-35,1.8705393955704693e-32,2.076038605898242e-28,1.546857415329551e-23,2.4208894903235503e-20,2.3170122240971517e-37,2.349580590333901e-51,7.992585148999438e-46,1.367959791246352e-62,4.750774377488583e-73,3.8533514567483157e-26,5.847880304541555e-19,3.736837314168539e-37,1.0122441919264425e-40,3.4338740937065136e-44,3.952400909234163e-61,1.3183934206755428e-35,1.2424748968146114e-35,1.0873215294507402e-36,3.604568921304452e-49,7.524240740466394e-45,1.3274060316357753e-40,1.1551386170369853e-60,1.993310521725468e-58,2.097865186749382e-62,1.5474642523116937e-60,4.4474583958816815e-49,8.31810123510314e-55,1.6764589865293942e-48,3.8875264202100213e-60,4.781231565777902e-58,2.4208894903238428e-20,1.1061733599114395e-37,1.4430083254743015e-36,8.126131912201426e-36,1.5593554872287954e-32,2.4585899171624176e-40,1.7904306707187565e-34,1.4027264150665909e-43,1.6073746464406254e-36,1.8645144303618543e-42,1.204325534502808e-14,3.938189262829954e-53,5.059184306762116e-80,1.8982485476407578e-65,3.977753429282425e-56,2.8482422887811263e-62,4.3171135883912875e-75,1.3022478552887704e-68,5.811816192957782e-69,3.528623597104725e-85,1.438614343280888e-41,4.2234190386384796e-71,2.3850184083355936e-54,1.4246585136069128e-62,4.547601752263636e-74,4.338387155259257e-87,1.0413080909480939e-88,5.847880304541397e-19,1.546857415329551e-23,6.536931623142979e-45,3.8533514559436553e-26,9.761059808536331e-81,8.213970441760011e-84,8.105956217817894e-106,4.391834484379081e-91,5.530520984240295e-99,1.1527167936092456e-97,8.965414073225455e-106
7.600991689806495e-21,0.09023074779831342,3.76,0.0,0.7636088512479409,0.9999999999999755,3.207934347672475e-48,5.076006565685517e-35,7.001761189399446e-32,4.211392904760438e-28,3.137910756811375e-23,4.9109472517991627e-20,9.465750957909013e-37,1.9263281236370823e-50,6.552804196772557e-45,1.1215360854899096e-61,7.893482211274448e-72,7.816798671058629e-26,1.186284290349858e-18,1.526619972836915e-36,4.135347811166203e-40,1.4028496118296735e-43,3.254095605432938e-60,5.386067304639685e-35,5.075915363066975e-35,4.4420632320848776e-36,2.955243380508968e-48,3.073898459663658e-44,5.4228867611551615e-40,9.470524287826046e-60,1.6481076633817758e-57,1.7199566277731015e-61,1.2687046878972348e-59,1.8171731409782434e-48,6.877566954598842e-54,6.848882021292708e-48,3.214281974647583e-59,3.953214588611018e-57,4.9109472517997146e-20,4.519079111498585e-37,5.895159851461367e-36,3.319790035213803e-35,6.370475970495688e-32,1.0044142029303395e-39,7.314493493027352e-34,5.730595105482414e-43,6.566649904107449e-36,7.617149823701687e-42,2.4430603699117727e-14,3.2287654930237462e-52,8.38522684081685e-79,1.556299142647716e-64,3.2888834575397764e-55,2.3351611266008033e-61,5.873306303473805e-74,1.0676616835397574e-67,9.632658652723965e-68,1.17102148652165e-83,5.877209004872026e-41,7.000007133706359e-70,1.9719792521696753e-53,1.1680211237516327e-61,7.469596654924209e-73,7.125813929892781e-86,1.7258917376527714e-87,1.1862842903497942e-18,3.1379107568113744e-23,2.670549863624902e-44,7.816798667771328e-26,1.6032570046148608e-79,1.3524597719382956e-82,4.8924230969790514e-104,1.462664249784962e-89,1.8229200584914044e-97,3.799480321835635e-96,5.975410510680239e-104
1.530903960059618e-20,0.09023074779831339,3.76,0.0,0.7636088512479409,0.9999999999999507,2.5978684061124317e-47,2.0518030122571733e-34,2.702205068643715e-31,8.482102428069579e-28,6.320017439775022e-23,9.891062774750265e-20,3.8262078815235196e-36,1.5599904579526656e-49,5.306630731415595e-44,9.082489997786911e-61,1.2868367842076746e-70,1.5743693104714198e-25,2.389276810141264e-18,6.170842015739863e-36,1.6715737037962577e-39,5.6705424273539395e-43,2.6407075664266584e-59,2.177134520342358e-34,2.0517661466586393e-34,1.795552980889175e-35,2.3932327093013837e-47,1.2425193957063385e-43,2.192017533358687e-39,7.669476108205518e-59,1.340213771753314e-56,1.392865470057603e-60,1.0274299496494416e-58,7.347254792858255e-48,5.592723226594523e-53,2.7684276545750505e-47,2.6138007017600883e-58,3.214688398737896e-56,9.891062774751216e-20,1.8266840313575264e-36,2.382917867357405e-35,1.341912211048211e-34,2.5750482424215372e-31,4.060002799902241e-39,2.9566352185699637e-33,2.316398167243291e-42,2.654344882910946e-35,3.078973746160909e-41,4.920530040487409e-14,2.6147380076205097e-51,1.3653168082797424e-77,1.2603318747887185e-63,2.6744654072769345e-54,1.8910740472806444e-60,8.536323085256896e-73,8.646204577312783e-67,1.5684287140875915e-66,3.8156029705049276e-82,2.375661851707292e-40,1.1397696833149937e-68,1.6035807426295647e-52,9.458937890953977e-61,1.2108656471894972e-71,1.1551251452583763e-84,2.8101672412436805e-86,2.3892768101410054e-18,6.320017439775022e-23,1.079478953897644e-43,1.5743693091426403e-25,2.5989486935151656e-78,2.1950617420930387e-81,3.02830258366866e-102,4.774379722812074e-88,5.92002085995214e-96,1.2338995700453673e-94,3.9021719218030115e-102
3.072513542217555e-20,0.09023074779831339,3.76,0.0,0.7636088512479409,0.9999999999999012,2.090990502767618e-46,8.250209671070263e-34,1.0609401331801515e-30,1.702352517702685e-27,1.2684230805702318e-22,1.9851293820651973e-19,1.5385013608869445e-35,1.255616036666247e-48,4.271238078998574e-43,7.310378108384317e-60,2.0782448140040885e-69,3.159748199216512e-25,4.795261849724074e-18,2.481268434179465e-35,6.721324344482023e-39,2.280100170073735e-42,2.1276507939518743e-58,8.754162152440637e-34,8.250061435782876e-34,7.219839564865349e-35,1.9262818908353082e-46,4.996119789897417e-43,8.81400609320311e-39,6.173061601226411e-58,1.080930955905339e-55,1.121099306859639e-59,8.269650078632671e-58,2.955867328112308e-47,4.5107338921056206e-52,1.1131726139668015e-46,2.108124950013437e-57,2.5927626332217492e-55,1.9851293820653242e-19,7.34501615468265e-36,9.581607939305187e-35,5.395769980689723e-34,1.0354155728037843e-30,1.6325092690129359e-38,1.1888500176321984e-32,9.314135161842473e-42,1.0673004031629185e-34,1.238041801249945e-40,9.875469380669503e-14,2.1045686255526116e-50,2.2036268250229638e-76,1.0144255107629511e-62,2.1570532401315863e-53,1.5221009513172312e-59,1.2955625904368449e-71,6.959223206714184e-66,2.531450238396958e-65,1.2320350694980229e-80,9.552431848061452e-40,1.8395928521387594e-67,1.2933459485382856e-51,7.613376125065792e-60,1.9500712984606937e-70,1.8602934359337007e-83,4.5356212210513947e-85,4.795261849723038e-18,1.268423080570231e-22,4.3405374012523325e-43,3.159748193873548e-25,4.1855267497821034e-77,3.5372190919769676e-80,1.9038281870751163e-100,1.5429970263380904e-86,1.9084059648715335e-94,3.9776570988514675e-93,2.5226278039132405e-100
6.155732706533428e-20,0.09023074779831342,3.76,0.0,0.7636088512479409,0.999999999999802,1.677888192625177e-45,3.308703078033463e-33,4.203634731310502e-30,3.410638548429736e-27,2.5412657537556914e-22,3.9771755912453425e-19,6.170078568708171e-35,1.0075527934941384e-47,3.427399565082433e-42,5.866118039473193e-59,3.3407178174336886e-68,6.330505984762609e-25,9.607231928889693e-18,9.950996195488046e-35,2.6955516807157506e-38,9.144221481612369e-42,1.708177002096771e-57,3.5108105625997185e-33,3.30864362878286e-33,2.895478580727173e-34,1.545719904157591e-45,2.0036706591082987e-42,3.5348106594331526e-38,4.953493169145425e-57,8.682625258974366e-55,8.9961158938675e-59,6.635873383730754e-57,1.1866930690051502e-46,3.6232667661885677e-51,4.464320301649112e-46,1.6933606016583947e-56,2.082647939327272e-54,3.9771755912453386e-19,2.945679995976269e-35,3.842653330906032e-34,2.163945093572778e-33,4.152479547874399e-30,6.547092324058482e-38,4.767820296866046e-32,3.735384792996952e-41,4.28035197827409e-34,4.965101348633249e-40,1.978534805715699e-13,1.6887837808298008e-49,3.5411691428268566e-75,8.14013824315404e-62,1.732662468060542e-52,1.2213902163960521e-58,2.016147473419431e-70,5.584347270029792e-65,4.067972550861705e-64,3.960266627409221e-79,3.830952436287802e-39,2.9561763186803e-66,1.038885795414344e-50,6.109254868975964e-59,3.1303039240241035e-69,2.986182957584422e-82,7.288621511414746e-84,9.607231928885535e-18,2.5412657537556886e-22,1.7407496370637233e-42,6.330505963334935e-25,6.718697387749476e-76,5.679735101776074e-79,1.2072554208678995e-98,4.962047197054362e-85,6.129403387214015e-93,1.2775408037519687e-91,1.6226072711051205e-98
