Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86),CF2(87)
0.0,0.49922059833142507,3.76,0.0,0.6603982002596369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.056358167095651e-23,0.49922059833142507,3.76,0.0,0.6603982002596369,0.9999999999999997,9.25492411669537e-54,4.0100965807477785e-38,1.2648294130025802e-31,5.924221138046467e-26,2.1376763140491294e-22,1.3810131330065422e-20,8.607708318772105e-39,1.0657803355730496e-54,2.3528385776252576e-49,4.808685552415033e-63,1.7174572374287358e-80,2.1823349247057109e-38,1.0070033163427465e-18,4.1346655027557e-38,2.8621406447248736e-47,4.592143616750955e-43,1.0662532276292285e-62,5.996830525577471e-38,3.9923886741334646e-38,2.536499821350553e-37,1.7120933858009708e-55,6.893969500387115e-44,3.456720485903287e-56,2.3616133307423827e-74,1.2572298982839662e-59,1.0352183812440711e-77,5.743662567097985e-76,7.205786383517313e-47,7.088054950890126e-58,4.8616536915389226e-48,1.1259986267870426e-60,4.011541540727919e-59,1.3810131330191706e-20,3.2580483216819886e-40,3.943766665037322e-39,2.1778780255916783e-38,2.0248647762307776e-34,4.1202058798770205e-41,2.726193476567294e-38,8.381390382140355e-44,2.9535603504823e-38,5.401352902686458e-43,4.031103713712399e-16,1.847608153151295e-56,8.297720409083623e-84,9.109851062874886e-65,1.0151193399548434e-57,2.757088433777949e-65,1.339663813701344e-73,1.4485723005256455e-66,1.2852465957714818e-75,9.251806629140072e-92,3.02362740015162e-42,8.23127447660893e-75,1.1717747239395927e-57,5.426371938808094e-78,4.730328584607099e-93,1.6049049695385898e-99,1.960329804496624e-86,1.0070033163427463e-18,2.1376763140491294e-22
1.1357802867867823e-22,0.49922059833142496,3.76,0.0,0.6603982002596369,0.9999999999999988,1.098744591134757e-52,2.4220983347732836e-37,3.548083561264228e-31,1.65878191865592e-25,5.985493679337561e-22,3.866836772418317e-20,5.199055824538351e-38,1.2652944143923238e-53,2.7932899593566974e-48,5.70887148782664e-62,3.841883141838337e-79,1.3181302945357981e-37,2.81960928575969e-18,2.4973379636644414e-37,1.7287329494228827e-46,2.7736547445175586e-42,1.611315968650802e-61,3.62208563744879e-37,2.411402759176752e-37,1.5320458920957326e-36,2.0325972676229093e-54,4.1639575788789964e-43,5.223795987875398e-55,6.660127437892831e-73,1.8998818162946232e-58,2.919481464431267e-76,1.6198047394057134e-74,4.352294979942474e-46,1.0711383828836284e-56,2.9364388297242617e-47,1.701609119165191e-59,6.062241537002671e-58,3.8668367724536756e-20,1.967861186296076e-39,2.382035065682412e-38,1.3154383274572081e-37,1.2230183248433875e-33,2.4886043514454104e-40,1.6466208598466327e-37,5.062359790813098e-43,1.7839504516911659e-37,3.262417153222086e-42,1.128709039839263e-15,2.193480399421323e-55,2.340037639753319e-82,1.0815215183380389e-63,1.5340483465208178e-56,3.273215388616484e-64,1.590449303930166e-72,1.7197450354281482e-65,3.6245532454810335e-74,4.789001533873154e-90,1.8262709496941971e-41,2.321351088263454e-73,1.770761754813122e-56,1.5303237057532295e-76,2.4846274437779325e-91,8.307450319142327e-98,5.528443669812532e-85,2.8196092857596893e-18,5.985493679337561e-22
2.5960692269412167e-22,0.49922059833142507,3.76,0.0,0.6603982002596369,0.9999999999999973,1.078753955044115e-51,1.166136085683891e-36,8.140836677215533e-31,3.7915015283701007e-25,1.3681128409914428e-21,8.838484051241858e-20,2.5031215790989254e-37,1.2422735591439443e-52,2.742468646079973e-47,5.6050038798934504e-61,7.590913675591252e-78,6.346229961247436e-37,6.444821224593578e-18,1.2023607282013544e-36,8.323104994993224e-46,1.3353953637511506e-41,1.73337815639403e-60,1.7438783168379242e-36,1.1609866264382207e-36,7.376141480487386e-36,1.9956160504895988e-53,2.0047663316619082e-42,5.619521344724504e-54,1.4487231921334421e-71,2.0437910125334872e-57,6.350509875362717e-75,3.5234291154369944e-73,2.0954426866510572e-45,1.1522788738175763e-55,1.4137688935506539e-46,1.830513439592941e-58,6.521482796060138e-57,8.838484051322678e-20,9.474404519453545e-39,1.1468473461926572e-37,6.333269298418116e-37,5.8883067692790645e-33,1.198155869867773e-39,7.927770629857496e-37,2.4373083231268893e-42,8.588953499200372e-37,1.5707134241004203e-41,2.5799063767744736e-15,2.1535720633129747e-54,5.090053012500159e-81,1.061844240355869e-62,1.6502592085508897e-55,3.213662278518986e-63,1.5615134323467972e-71,1.6884558742354537e-64,7.884158458376109e-73,2.0910654873023516e-88,8.792708479680193e-41,5.049445652363857e-72,1.9048963578480247e-55,3.3287883222746345e-75,1.085549969707364e-89,3.62735792714889e-96,1.2025572520799792e-83,6.444821224593573e-18,1.3681128409914428e-21
5.5166471072500855e-22,0.49922059833142507,3.76,0.0,0.6603982002596369,0.9999999999999944,9.541456567392304e-51,5.092822657574861e-36,1.743132218683019e-30,8.056940747845005e-25,2.907239787106816e-21,1.8781778608888912e-19,1.0931789564840543e-36,1.0987768947623864e-51,2.4256824599884788e-46,4.9575624571146295e-60,1.3507625304749235e-76,2.771565354586257e-36,1.3695245102261352e-17,5.251025188499708e-36,3.6349186189371165e-45,5.832022393273432e-41,1.5932724231942858e-59,7.615974767483348e-36,5.070333616151662e-36,3.221354773115182e-35,1.7650997970253424e-52,8.75534127521541e-42,5.165308272772582e-53,2.6856886406757557e-70,1.8785905638390553e-56,1.1772775039021928e-73,6.531843766263604e-72,9.15134877184422e-45,1.0591417469499527e-54,6.174300188778194e-46,1.682557219976835e-57,5.994366237215018e-56,1.8781778609060652e-19,4.1377213685385266e-38,5.008583664595371e-37,2.765905092498865e-36,2.571578265813051e-32,5.232661467439018e-39,3.462265715240262e-36,1.0644365785323108e-41,3.751021645110294e-36,6.859718186403519e-41,5.4823010506415535e-15,1.904810101572032e-53,9.436070974665045e-80,9.391892061504346e-62,1.5168725272806297e-54,2.842447891911246e-62,1.3811424924305364e-70,1.4934201004957653e-63,1.4615874102404212e-71,7.784512509569829e-87,3.840006798233149e-40,9.360821236047044e-71,1.750924917042609e-54,6.171012539129093e-74,4.0419093224477376e-88,1.3503744071929927e-94,2.2293384737013512e-82,1.3695245102261326e-17,2.907239787106816e-21
1.1357802867867822e-21,0.49922059833142507,3.76,0.0,0.6603982002596369,0.9999999999999887,8.020169160822159e-50,2.126153207135137e-35,3.643221031690767e-30,1.658781918698098e-24,5.9854936793375624e-21,3.8668367724182916e-19,4.563806950612944e-36,9.235881863222268e-51,2.0389322659527036e-45,4.167129960748271e-59,2.2782584392466494e-75,1.1570739772679719e-35,2.81960928575969e-17,2.1921996495610442e-35,1.5175069699554841e-44,2.434754545601103e-40,1.3630778208970714e-58,3.1795195446611396e-35,2.1167644750275102e-35,1.3448522052800458e-34,1.4836727346409006e-51,3.6551826378197797e-41,4.41902997528697e-52,4.6160125763486173e-69,1.6071716835914819e-55,2.023439233262005e-72,1.1226570539562434e-70,3.820507998594787e-44,9.061176595301178e-54,2.5776487877233362e-45,1.4394631253386588e-56,5.128306517160067e-55,3.8668367724536488e-19,1.7274172201579526e-37,2.090985085800964e-36,1.1547109291663974e-35,1.0735833043575256e-31,2.1845331575064798e-38,1.4454277812757992e-35,4.443813180615166e-41,1.5659776978237113e-35,2.8637973089969065e-40,1.1287090398362352e-14,1.6011076637885683e-52,1.6218172448772776e-78,7.894451191032683e-61,1.2977163827421042e-53,2.3892487237007843e-61,1.1609360799469537e-69,1.2553095812709658e-62,2.51209325214234e-70,2.6818825884962887e-85,1.603127247596922e-39,1.60888599983125e-69,1.4979519774150078e-53,1.0606393853002427e-72,1.392609587321332e-86,4.652244578140753e-93,3.831663236481619e-81,2.819609285759679e-17,5.9854936793375624e-21
2.30401143891033e-21,0.49922059833142507,3.76,0.0,0.6603982002596369,0.999999999999977,6.5754192363231765e-49,8.686029597954814e-35,7.611365502045524e-30,3.3649576065997595e-24,1.2142001463799055e-20,7.844154595477046e-19,1.8644640526792904e-35,7.572133959948274e-50,1.6716398587267779e-44,3.416464909204096e-58,3.742046327640095e-74,4.7270247419097943e-35,5.719778836826802e-17,8.955850865588723e-35,6.199511123133675e-44,9.946766759625089e-40,1.127018991677838e-57,1.2989374791621532e-34,8.647673563736534e-35,5.49416007303801e-34,1.2164045475895499e-50,1.4932613770249152e-40,3.6537394390341614e-51,7.650702322514181e-68,1.3288398085796202e-54,3.353702136927386e-71,1.860721735053688e-69,1.5608022028661772e-43,7.491954456379054e-53,1.0530536365987001e-44,1.1901759484128262e-55,4.240182999379953e-54,7.844154595548766e-19,7.057062986714365e-37,8.542356347122001e-36,4.71737091853304e-35,4.385938099906639e-31,8.924530744012274e-38,5.905044117982296e-35,1.8154426823368049e-40,6.397529861541714e-35,1.169954644127187e-39,2.2896669093750495e-14,1.3126847976224309e-51,2.6880413703157427e-77,6.472348064451783e-60,1.0729770006250817e-52,1.9588504563714877e-60,9.51809792963479e-69,1.0291786397835205e-61,4.1636087148583607e-69,8.900190506279872e-84,6.549297894133729e-39,2.6666105541106103e-68,1.2385352119042043e-52,1.7579319974336776e-71,4.62174506020092e-85,1.5439103564915373e-91,6.3507008125088e-80,5.719778836826756e-17,1.2142001463799055e-20
4.6404737431574246e-21,0.49922059833142507,3.76,0.0,0.6603982002596368,0.9999999999999538,5.3249449769442914e-48,3.5110320412384085e-34,1.6219521820112032e-29,6.777308982700952e-24,2.4455017032722036e-20,1.5798790241594382e-18,7.536461803084094e-35,6.132110401596398e-49,1.3537372977868891e-43,2.7667418612996826e-57,6.066018352813709e-73,1.9107389799725601e-34,1.152011793896102e-16,3.620098111606556e-34,2.5059415180570943e-43,4.020642159357297e-39,9.164730834716976e-57,5.250512973008064e-34,3.49552791887377e-34,2.2208273455837185e-33,9.850759400555595e-50,6.036001268630145e-40,2.971160231976795e-50,1.2457185416728146e-66,1.0805901395358724e-53,5.460634539290307e-70,3.0297029848210135e-68,6.3090122595855325e-43,6.092332316274049e-52,4.256611169578564e-44,9.678313152662058e-55,3.44804639562884e-53,1.5798790241738817e-18,2.8525776919670855e-36,3.4529570160273997e-35,1.906836749534656e-34,1.77286630509908e-30,3.607438017684505e-37,2.3869132460202897e-34,7.3383095863324255e-40,2.5859838577301216e-34,4.729143731189415e-39,4.611582648431297e-14,1.0630461827630738e-50,4.3767771364772813e-76,5.2414752944763745e-59,8.72527077357087e-52,1.5863278867703923e-59,7.70807136859738e-68,8.334555497181396e-61,6.7793561618271455e-68,2.8999974966875164e-82,2.6473309232023866e-38,4.341884013307145e-67,1.0071560870215835e-51,2.8623365436472138e-70,1.5059578141960912e-83,5.0306071157325e-90,1.0340469960579374e-78,1.152011793896084e-16,2.4455017032722036e-20
9.313398351651615e-21,0.49922059833142507,3.76,0.0,0.6603982002596367,0.9999999999999074,4.285978977370812e-47,1.411770541766615e-33,3.6123303965672597e-29,1.3602011736094803e-23,4.9081048170568e-20,3.170806153382833e-18,3.0303781444568438e-34,4.935655932752563e-48,1.0896055497418425e-42,2.2269145510627393e-56,9.769135552234766e-72,7.682997406500304e-34,2.312079614322946e-16,1.4556255289070012e-33,1.007628063226676e-42,1.6166825288502072e-38,7.391687260330632e-56,2.1112081738514577e-33,1.4055364022943848e-33,8.929849081056545e-33,7.928748162265325e-49,2.4270495875407597e-39,2.3963483647299068e-49,2.0105947485912465e-65,8.715349657204924e-53,8.813486161897007e-69,4.8899528322739614e-67,2.5368262462307745e-42,4.913686474578155e-51,1.7115646313631447e-43,7.80591017843442e-54,2.780974332018234e-52,3.1708061534118162e-18,1.14700894385365e-35,1.3884188294827505e-34,7.6673067040860494e-34,7.12861743930968e-30,1.4505349608098427e-36,9.597673181984075e-34,2.9507020096185246e-39,1.0398127356173768e-33,1.9015678947602752e-38,9.255414126458271e-14,8.556320508102514e-50,7.064134824846323e-75,4.218795355166738e-58,7.03724697352511e-51,1.2768146916024193e-58,6.204237322616481e-67,6.708375417871279e-60,1.094190715432993e-66,9.363916185179625e-81,1.0644801209393546e-37,7.007818302324259e-66,8.123078000215951e-51,4.619822721566496e-69,4.8626940341786185e-82,1.6243525536718417e-88,1.6689560205335655e-77,2.3120796143228745e-16,4.9081048170568e-20
1.8659247568639994e-20,0.49922059833142507,3.76,0.0,0.6603982002596365,0.9999999999998145,3.4392282081059375e-46,5.6618313028096564e-33,8.66807462945006e-29,2.7251417247648395e-23,9.833311044625992e-20,6.352660411829337e-18,1.2153171729023205e-33,3.960553049280339e-47,8.743398327068259e-42,1.786958681026952e-55,1.5681626098358567e-70,3.081225594782784e-33,4.632215255176632e-16,5.837709415346513e-33,4.041039208989375e-42,6.483620019617427e-38,5.937405115682822e-55,8.466889038078124e-33,5.636829614765618e-33,3.5812688787651686e-32,6.36232106509843e-48,9.733554568794704e-39,1.9248773255532624e-48,3.2309717850920284e-64,7.000642291602129e-52,1.416303565759593e-67,7.85802292707595e-66,1.0173809191656349e-41,3.946940095032678e-50,6.864139698438684e-43,6.27013155886709e-53,2.2338298193027816e-51,6.352660411887385e-18,4.6000188771913e-35,5.568180491683246e-34,3.074932916959636e-33,2.858894428370111e-29,5.817293960366686e-36,3.849096212396332e-33,1.1833634792398845e-38,4.1701141373926836e-33,7.626137754846448e-38,1.8543077082170127e-13,6.865908349425104e-49,1.1351874128270873e-73,3.385317646469256e-57,5.652699471042351e-50,1.0245633805108642e-57,4.978687698816828e-66,5.383048896503457e-59,1.7583350237040483e-65,3.009947184980971e-79,4.2690413861720554e-37,1.126137588162748e-64,6.524897718926274e-50,7.423931091376983e-68,1.5630771755571837e-80,5.221336137303298e-87,2.681967520611037e-76,4.632215255176345e-16,9.833311044625991e-20
