Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86),CF2(87),F[C]C(F)F(180),CH2F(89),C2HF(510)
0.0,0.4297531023092035,3.76,0.0,0.610726257419322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.154420375725264e-23,0.42975310230920344,3.76,0.0,0.610726257419322,0.9999999999999997,8.947958999208452e-54,3.2795472754971467e-38,4.4010640808128616e-32,1.688636394913071e-26,8.611470617770016e-23,8.469671773504819e-21,4.467376217069974e-39,7.623154469644408e-55,1.8667472555315085e-49,1.3692789104583866e-63,2.0081716525202852e-76,1.5538711736277008e-24,5.252925264951092e-19,2.0301613378549606e-38,1.1693995821856472e-41,1.2287121483490966e-43,5.964417211103292e-62,4.598895450835572e-38,3.2735041849420396e-38,1.124896004177881e-37,6.486418800666337e-54,1.830216493835167e-44,3.898778919796934e-41,1.033876514651303e-59,4.0526059054563606e-60,6.548913948877364e-63,3.770381471863872e-61,1.1890357131979531e-47,3.615639247669264e-58,1.485207388469627e-48,8.264089110941258e-61,4.415242097741961e-59,8.469671773548697e-21,2.374176061683243e-40,2.948845582824981e-39,1.8589559061454756e-38,1.3475049377297326e-34,1.912601445787247e-41,3.29083462583235e-38,3.1186463549545e-44,1.9100113540389188e-38,2.2976848166598624e-43,4.1230989315314938e-16,1.1805506782630388e-56,3.813694371575706e-84,1.7619941040046816e-65,3.5543828027370705e-58,1.6408888425936308e-65,1.6975198953450843e-74,1.8286657961731307e-67,1.3370849402636528e-75,2.723169630553363e-91,1.3248829895162397e-42,1.439514740224088e-74,6.621932034781383e-58,3.871275103375213e-63,6.3419620914772015e-78,3.195973974683847e-85,4.882592599721667e-87,5.252925264951091e-19,8.611470617770016e-23,2.485014422269313e-44,1.5538711736276944e-24,4.373395414126841e-79
1.4432377052030739e-22,0.4297531023092035,3.76,0.0,0.610726257419322,0.9999999999999988,1.0623016923866608e-52,1.9808465544015615e-37,1.2366641665319378e-31,4.728181905777721e-26,2.4112117729756044e-22,2.3715080965813472e-20,2.698295235110262e-38,9.05020898636185e-54,2.2162023417669948e-48,1.6256079224959847e-62,6.312667289332942e-75,4.3508392861575826e-24,1.4708190741863056e-18,1.2262174480643945e-37,7.063173476401301e-41,7.421421376028474e-43,7.66027953965223e-61,2.7777328523046826e-37,1.977196527705098e-37,6.7943718652343925e-37,7.7006764001505145e-53,1.1054507625642345e-43,2.3548624675573482e-40,1.227418198194027e-58,6.124206231013683e-59,7.7748706401070075e-62,4.476196883396754e-60,7.181775729653286e-47,5.463857092035369e-57,8.970652626522803e-48,1.2487986831062535e-59,6.671659433624229e-58,2.371508096593633e-20,1.4340023412569007e-39,1.7811027320261464e-38,1.1228093673116699e-37,8.138929823887563e-34,1.1552112732552829e-40,1.9876641140027217e-37,1.883662398392777e-43,1.1536468578393949e-37,1.3878016292622356e-42,1.154467700828518e-15,1.4015497652338061e-55,1.0755072797718603e-82,2.0918394007733205e-64,5.371383291475077e-57,1.948063233960109e-64,2.0153306917020994e-73,2.170992033734493e-66,3.768162339903019e-74,1.409481045459423e-89,8.002293256696549e-42,4.0593388969470174e-73,9.999824421609309e-57,4.595977802729253e-62,1.41959335881535e-76,7.149265942410978e-84,1.3768463491289032e-85,1.4708190741863048e-18,2.4112117729756044e-22,1.5009487110508397e-43,4.3508392861575444e-24,9.783110605585159e-78
3.298829040464169e-22,0.4297531023092035,3.76,0.0,0.610726257419322,0.9999999999999973,1.042974100949699e-51,9.536923477164998e-37,2.847244579050587e-31,1.0807272927591511e-25,5.51134119537281e-22,5.420589935043075e-20,1.2991130039239465e-37,8.885548849817555e-53,2.1758806010474918e-47,1.5960314980296393e-61,1.408236694783991e-73,9.94477551121743e-24,3.3618721695686984e-18,5.903709170482209e-37,3.4006139849958548e-40,3.57309492739907e-42,7.774763967077178e-60,1.3373587971029807e-36,9.519350169813065e-37,3.271197580149268e-36,7.560569754054953e-52,5.3222695683073505e-43,1.1337649098769492e-39,1.2050864654775593e-57,6.588109993479305e-58,7.633414098810844e-61,4.394756643604424e-59,3.457715886259333e-46,5.877734758710769e-56,4.31898308591431e-47,1.3433763806458856e-58,7.17684149069068e-57,5.4205899350711554e-20,6.904103987378204e-39,8.57524295485292e-38,5.40584377506809e-37,3.918544358918034e-33,5.561845004346106e-40,9.56974709192022e-37,9.069023600211502e-43,5.554313017543504e-37,6.681667446842066e-42,2.638783316178057e-15,1.3760498705830515e-54,2.339451359702328e-81,2.0537803291461192e-63,5.7782890347235115e-56,1.9126200350273962e-63,1.978737111903973e-72,2.13149285359484e-65,8.194563922810491e-73,6.154159082753778e-88,3.8527597335409206e-41,8.829688085702644e-72,1.0754862707823828e-55,4.5123582605007296e-61,2.80569228762738e-75,1.4125744747863443e-82,2.994847569671748e-84,3.3618721695686945e-18,5.51134119537281e-22,7.226421939961727e-43,9.944775511217245e-24,1.9329777961500903e-76
7.010011710986359e-22,0.42975310230920344,3.76,0.0,0.610726257419322,0.9999999999999943,9.224987809865114e-51,4.1650250399013186e-36,6.13826498655727e-31,2.296545497155705e-25,1.171160004016722e-21,1.151875361196651e-19,5.673567795678847e-37,7.859167332024673e-52,1.924541750562694e-46,1.4116717855248013e-60,2.637410213950455e-72,2.1132647961337455e-23,7.143978360333484e-18,2.5783048990757824e-36,1.485137469375766e-39,1.560464428403247e-41,6.97750806804056e-59,5.840597222561141e-36,4.157350314878062e-36,1.4286179253058994e-35,6.687238326731339e-51,2.3243749515081334e-42,4.9514492281421167e-39,1.0658853315449095e-56,6.055596659369225e-57,6.751668324733324e-60,3.8871124822325596e-58,1.510075388824573e-45,5.40263879217669e-55,1.8862133836069983e-46,1.2347855450947979e-57,6.596672134802527e-56,1.1518753612026183e-19,3.0152035983411637e-38,3.745033890185533e-37,2.360874000801703e-36,1.7113312709167325e-32,2.4290038361464893e-39,4.179359974806829e-36,3.9606808707961234e-42,2.4257144196277027e-36,2.9180597171530555e-41,5.6074145468723386e-15,1.2171005272612246e-53,4.33693978022553e-80,1.8165454446245002e-62,5.3112431344436356e-55,1.6916907613689875e-62,1.7503009461230873e-71,1.8852812925014803e-64,1.5189857204627058e-71,2.2910114809162647e-86,1.6826013967142433e-40,1.6368562318278832e-70,9.884668445761481e-55,3.991129780589336e-60,4.993245521003641e-74,2.513600804320835e-81,5.551873390391479e-83,7.143978360333468e-18,1.171160004016722e-21,3.155968316284653e-42,2.1132647961336644e-23,3.439630709641682e-75
1.443237705203074e-21,0.4297531023092035,3.76,0.0,0.610726257419322,0.9999999999999885,7.754158101444727e-50,1.7388159654865365e-35,1.2999744131448173e-30,4.728181906083996e-25,2.4112117729756042e-21,2.3715080965813313e-19,2.3686028702904847e-36,6.606103692922467e-51,1.6176933036873895e-45,1.186595195338173e-59,4.555422895495181e-71,4.3508392861578815e-23,1.4708190741863055e-17,1.0763915413306844e-35,6.200156584748252e-39,6.514631810545964e-41,5.9049885997140494e-58,2.4383343680329895e-35,1.7356119188577755e-35,5.964198614151044e-35,5.621026749950056e-50,9.703807889186857e-42,2.0671325832763448e-38,8.959408455725888e-56,5.180686063545056e-56,5.675184045471618e-59,3.267352257413288e-57,6.30426764769052e-45,4.6220666170267605e-54,7.874569575911614e-46,1.0563816761319124e-56,5.643560741329648e-55,2.3715080965936163e-19,1.2587881479075563e-37,1.5634779280118307e-36,9.856184214355858e-36,7.144471179842793e-32,1.0140612865534155e-38,1.744800518616084e-35,1.6535062974003794e-41,1.0126880199098838e-35,1.2182324897885868e-40,1.1544677008241718e-14,1.0230463289702825e-52,7.454084657233807e-79,1.526915904332376e-61,4.5438803223984663e-54,1.4219680171470505e-61,1.4714526002817296e-70,1.5846925262334215e-63,2.6106344572749863e-70,7.892839817957202e-85,7.024529610672677e-40,2.813323125967959e-69,8.4561973387378e-54,3.354785064207873e-59,8.422380429682414e-73,4.239555152114887e-80,9.542198654794709e-82,1.4708190741862984e-17,2.4112117729756042e-21,1.3175546466895422e-41,4.3508392861575447e-23,5.801439938804241e-74
2.9277107734119498e-21,0.42975310230920344,3.76,0.0,0.610726257419322,0.9999999999999766,6.357327298129818e-49,7.103630580769814e-35,2.784045574074005e-30,9.591454724481314e-25,4.891315310893369e-21,4.810773567350664e-19,9.676515581222119e-36,5.4160829314319e-50,1.3262827072755191e-44,9.728424321980955e-59,7.568865863122784e-70,8.825988266206684e-23,2.9836615504922194e-17,4.397410664247228e-35,2.5329662709973574e-38,2.661439661809277e-40,4.8571731389382135e-57,9.961391502327622e-35,7.090541004764613e-35,2.4365697408893892e-34,4.60845733773513e-49,3.9643221671510593e-41,8.444911091437043e-38,7.34546435666315e-55,4.2834897130981686e-55,4.652858760653428e-58,2.6787727857357146e-56,2.5754991665771574e-44,3.8216122566728885e-53,3.2170186136181405e-45,8.734354867372764e-56,4.6661929761403464e-54,4.810773567375582e-19,5.142560316674631e-37,6.38731748620551e-36,4.026572850924105e-35,2.9187495953199008e-31,4.1427712356077553e-38,7.128079432935978e-35,6.755112750715247e-41,4.137160993289333e-35,4.976877220240067e-40,2.341920193090375e-14,8.387551903440905e-52,1.235459338345541e-77,1.251857915747186e-60,3.756968120588508e-53,1.1658152924764404e-60,1.2067451411473588e-69,1.299226681286508e-62,4.3268458447013384e-69,2.619339210886436e-83,2.8697495508298382e-39,4.662865473839825e-68,6.991612744717012e-53,2.7504554832354486e-58,1.3834223500349131e-71,6.963482067970565e-79,1.5815452765198116e-80,2.983661550492191e-17,4.891315310893369e-21,5.382640639232096e-41,8.825988266205304e-23,9.528882520119166e-73
5.896656909829702e-21,0.4297531023092035,3.76,0.0,0.610726257419322,0.9999999999999528,5.148328470972723e-48,2.8714010580919897e-34,6.199289223736376e-30,1.9318000363438886e-24,9.851522386728898e-21,9.689304508889217e-19,3.911402312103078e-35,4.3860843793063745e-49,1.0740581225528134e-43,7.878330242337914e-58,1.2339131876163809e-68,1.7776286226306398e-22,6.009346503104048e-17,1.777503699036127e-34,1.0238654653834452e-37,1.075796464062097e-39,3.9398101673831332e-56,4.026553714187969e-34,2.86611004212813e-34,9.849004466658795e-34,3.7320482344136216e-48,1.6024424177338806e-40,3.413568085670443e-37,5.948547480049969e-54,3.483262020331774e-54,3.768005657883557e-57,2.1693396537627618e-55,1.0410580463512625e-43,3.107670905696315e-52,1.300370360118966e-44,7.102627133890411e-55,3.794465815915581e-53,9.689304508939395e-19,2.0787051024762412e-36,2.5818558523374986e-35,1.6276051256947417e-34,1.1798052532192207e-30,1.6745743706353593e-37,2.8812836749766803e-34,2.7305245788120286e-40,1.6723066209952705e-34,2.011733345825766e-39,4.7168251775920893e-14,6.792456993350395e-51,2.0116248423447668e-76,1.0137870048816188e-59,3.055104081514795e-52,9.441074501849694e-60,9.778355931573738e-69,1.052147459638629e-61,7.045076044401697e-68,8.534725125577527e-82,1.1599986518843552e-38,7.592258757279159e-67,5.685410072124822e-52,2.227390160732864e-57,2.2426225251222005e-70,1.1288104509105991e-77,2.575133189512884e-79,6.009346503103931e-17,9.851522386728898e-21,2.1757494074053825e-40,1.7776286226300822e-22,1.5446729192535455e-71
1.1834549182665206e-20,0.4297531023092035,3.76,0.0,0.6107262574193218,0.9999999999999053,4.143822648064469e-47,1.154577736629273e-33,1.4818181834276795e-29,3.8771091650005794e-24,1.9771936538399952e-20,1.9446366391965867e-18,1.572757666724269e-34,3.5303022891831715e-48,8.644954179750624e-43,6.341165578216954e-57,1.9927707188661756e-67,3.5676882146514286e-22,1.2060716408327701e-16,7.147264196371032e-34,4.116918005067586e-37,4.32573026674359e-39,3.1736366341482905e-55,1.619059539048294e-33,1.1524502423341e-33,3.960241378547949e-33,3.0038770998994253e-47,6.443350594009806e-40,1.3725807138302522e-36,4.787908523879047e-53,2.809376740334423e-53,3.032818762542938e-56,1.7460732816318906e-54,4.186049457609733e-43,2.5064488846471565e-51,5.22873203204295e-44,5.72852403015049e-54,3.060372227871839e-52,1.9446366392066547e-18,8.358381792373538e-36,1.0381528828047156e-34,6.544528625666337e-34,4.743945033473647e-30,6.733389893783342e-37,1.1585514933614997e-33,1.0979319238668724e-39,6.724271372260607e-34,8.089091304191106e-39,9.466635146472747e-14,5.467160318612357e-50,3.246770272815611e-75,8.159839920458434e-59,2.4640521204875382e-51,7.598998122618554e-59,7.879841858955115e-68,8.468598238095348e-61,1.137072481260528e-66,2.7558093831131975e-80,4.664303561366558e-38,1.2253929179066268e-65,4.585467989488131e-51,1.7927973799783523e-56,3.6117027538111593e-69,1.81791443194049e-76,4.156272719319247e-78,1.206071640832723e-16,1.977193653839995e-20,8.74859267430838e-40,3.567688214649186e-22,2.4876481168446022e-70
2.3710333728336216e-20,0.4297531023092036,3.76,0.0,0.6107262574193217,0.9999999999998103,3.32515670651178e-46,4.630373121807566e-33,3.920958830021795e-29,7.767727425774661e-24,3.9612764841742064e-20,3.896049015811736e-18,6.30746167662312e-34,2.832845256397738e-47,6.937031289047999e-42,5.088386023768209e-56,3.203318831878449e-66,7.147807398696387e-22,2.4163456218775013e-16,2.8663726119486895e-33,1.651068253690204e-36,1.7348113099768994e-38,2.5476566836888428e-54,6.493152893660649e-33,4.6218409177631495e-33,1.5882339189223632e-32,2.4104221950731854e-46,2.584071862550862e-39,5.504662564188277e-36,3.841995058466631e-52,2.25664407103454e-52,2.4336460566780326e-55,1.401113844653853e-53,1.6787937323961583e-42,2.0133159374357634e-50,2.096955410715093e-43,4.601461208320459e-53,2.458256639059006e-51,3.896049015831897e-18,3.352084936575337e-35,4.163457385227275e-34,2.62464869002646e-33,1.9025341365498664e-29,2.700390505562618e-36,4.6463096631946144e-33,4.403198076840943e-39,2.6967335706288894e-33,3.244087406329685e-38,1.896625508374298e-13,4.387051845893313e-49,5.2174724006422756e-74,6.547757856690186e-58,1.9792606640781026e-50,6.097717439035765e-58,6.338114983035018e-67,6.795516969555831e-60,1.8272404566302197e-65,8.85830039505185e-79,1.870594344772106e-37,1.9691729594719918e-64,3.683288800154362e-50,1.4386069910873631e-55,5.797605478648896e-68,2.918155270696453e-75,6.679016582325573e-77,2.416345621877311e-16,3.961276484174205e-20,3.508576952822108e-39,7.147807398687393e-22,3.993226158487403e-69
