Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86),CF2(87),F[C]C(F)F(180),CH2F(89),C2HF(510),C2HFO(390)
0.0,0.23675227843201935,3.76,0.0,0.7140694219740547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1226597656132464e-23,0.23675227843201935,3.76,0.0,0.7140694219740547,0.9999999999999997,1.63873604850558e-53,4.665626993823544e-38,5.825953340081462e-32,1.919511755614865e-26,1.1241738681965097e-22,1.0965227827644979e-20,7.466743889231388e-39,1.312803336428089e-54,2.0833505760495413e-49,2.3763818510512186e-63,3.933762331814722e-76,1.9758078545518835e-24,7.3096277393491095e-19,3.118528418499376e-38,1.9592354963978315e-41,1.7666848283160554e-43,1.3611285090001701e-61,7.0384653158178e-38,4.6548811816551943e-38,1.7278051693524602e-37,2.0461887478759726e-53,2.7363793037744395e-44,6.954913752158577e-41,1.437237691054654e-59,7.520329801684268e-60,1.5136257527362124e-62,8.711538202164027e-61,2.009368649221982e-47,1.3063038291384933e-57,2.4916876845795723e-48,1.570567647521151e-60,8.062751545315345e-59,1.0965227827703033e-20,6.7323949329145555e-40,8.360341931974571e-39,2.842123243382329e-38,2.064490813936161e-34,4.5063169533181143e-41,7.867487383191899e-38,7.418587582538514e-44,2.725573291061706e-38,5.470923234356498e-43,4.153299063952305e-16,3.3561066700578915e-56,1.4397913228591525e-83,2.9129273745889894e-65,7.04864890216606e-58,5.0698106928311755e-65,3.1643989196613057e-74,3.034538516525118e-67,8.981940602201234e-75,8.803883265350586e-91,3.0829994328761064e-42,2.885129740610761e-74,2.371123382308458e-57,7.639659069965074e-63,2.730641795629386e-77,4.935421875309961e-85,1.0200636362481537e-86,7.309627739349108e-19,1.1241738681965097e-22,3.920517301663613e-44,1.9758078545518747e-24,5.89012688934921e-79,8.00583179550413e-83
8.74344734371709e-23,0.23675227843201935,3.76,0.0,0.7140694219740547,0.9999999999999988,1.945507436787203e-52,2.8180387042715927e-37,1.6379563268957984e-31,5.374632915753302e-26,3.147686830950227e-22,3.0702637917405924e-20,4.509913309095757e-38,1.558560121007432e-53,2.4733538038860003e-48,2.8212405335676285e-62,1.2366169454178614e-74,5.532261992745301e-24,2.0466957670177506e-18,1.883591164773621e-37,1.1833782398242895e-40,1.0670776363028865e-42,1.8055527144271812e-60,4.2512330507539465e-37,2.8115482337199006e-37,1.043594322288885e-36,2.4292352814781468e-52,1.6527731000471127e-43,4.200767906303782e-40,1.7062885868200867e-58,1.1364604410525e-58,1.7969764936483975e-61,1.0342338153609076e-59,1.2136586720884328e-46,1.9740649181919025e-56,1.5049793615341738e-47,2.3733266068288906e-59,1.2183439320968168e-57,3.070263791756847e-20,4.066366539481323e-39,5.049646526912166e-38,1.7166424390026078e-37,1.2469524516174386e-33,2.7218154398035966e-40,4.751962379447865e-37,4.480826899853939e-43,1.6462462678011016e-37,3.30443763355045e-42,1.1629237379063416e-15,3.984369838692515e-55,4.060401237313519e-82,3.458227380199762e-64,1.0651918220913693e-56,6.018879254705028e-64,3.7569290563129173e-73,3.6026041279515104e-66,2.5319137132074427e-73,4.556859739258773e-89,1.8621316574621234e-41,8.136010815094709e-73,3.5815737687335537e-56,9.069803247866906e-62,6.112300289819543e-76,1.1040341318197669e-83,2.8765295783422646e-85,2.0466957670177495e-18,3.147686830950227e-22,2.3679924502051364e-43,5.53226199274525e-24,1.3175978246398599e-77,1.8120659546321011e-81
1.9985022499924779e-22,0.2367522784320194,3.76,0.0,0.7140694219740547,0.9999999999999973,1.9101107381423692e-51,1.3567643298071459e-36,3.7754358793630567e-31,1.2284875236156891e-25,7.194712756457662e-22,7.017745809692775e-20,2.1713291229884835e-37,1.5302035689405973e-52,2.428353431443298e-47,2.7699106855841288e-61,2.7586854384513844e-73,1.2645170269132246e-23,4.678161753183428e-18,9.068680640996152e-37,5.697456823524885e-40,5.1375194807429267e-42,1.8557931370204988e-59,2.04678571383981e-36,1.3536394476255758e-36,5.0244574324769375e-36,2.3850376045235905e-51,7.957391023724244e-43,2.022488919127716e-39,1.6752442526933062e-57,1.2225482212194112e-57,1.764282177389222e-60,1.0154168928442206e-58,5.843244149039038e-46,2.1236015806227726e-55,7.245827787465329e-47,2.5530767978330424e-58,1.3106046975864636e-56,7.017745809729929e-20,1.95778044649295e-38,2.431187433817496e-37,8.26489439175103e-37,6.003539286926318e-33,1.3104369700240914e-39,2.2878653310321428e-36,2.1573252690031948e-42,7.925967130404913e-37,1.590944476549558e-41,2.658111400927351e-15,3.9118779346184536e-54,8.832228497889998e-81,3.395308151130652e-63,1.145884754721699e-55,5.909371344099103e-63,3.6888980520105104e-72,3.5370580983088737e-65,5.506595619304961e-72,1.9896545187090132e-87,8.965362350878051e-41,1.7697178307062284e-71,3.8523194611638116e-55,8.904786611964344e-61,1.208038004565423e-74,2.1813853988145726e-82,6.256917181258975e-84,4.678161753183423e-18,7.194712756457662e-22,1.1400864313242399e-42,1.2645170269131999e-23,2.603351267265134e-76,3.599075508824422e-80
4.246817281234015e-22,0.23675227843201935,3.76,0.0,0.7140694219740547,0.9999999999999943,1.6894713165762642e-50,5.9253462821895846e-36,8.157425251065386e-31,2.610535987747094e-25,1.5288764607472534e-21,1.4912709845597118e-19,9.482764739323831e-37,1.3534477277239393e-51,2.147851109883937e-46,2.4499546331573074e-60,5.166611964491148e-72,2.6870986821906565e-23,9.94109372551479e-18,3.960531091494178e-36,2.488229080425237e-39,2.2436897319612254e-41,1.674427004054149e-58,8.938850951088551e-36,5.911699100704637e-36,2.1943125650776094e-35,2.1095387515088653e-50,3.475201724344342e-42,8.832740465241417e-39,1.4817345699697102e-56,1.123730969639502e-56,1.560487606040703e-59,8.98124742490265e-58,2.5518983044557026e-45,1.9519530431899864e-54,3.164443360141174e-46,2.3467030567278378e-57,1.2046591514667037e-55,1.491270984567607e-19,8.55014156481594e-38,1.0617634253600395e-36,3.6094965190906206e-36,2.6219033336988886e-32,5.723022530705576e-39,9.991708976653092e-36,9.42160622983411e-42,3.461478079645756e-36,6.948072507619208e-41,5.648486726964516e-15,3.4600117325603957e-53,1.6373440196968703e-79,3.003111612994516e-62,1.0532655081471944e-54,5.2267720329948426e-62,3.263360748537126e-71,3.128487836171097e-64,1.0207659131498667e-70,7.406912739746877e-86,3.915409279829471e-40,3.28072764127315e-70,3.540737169862782e-54,7.876182914798224e-60,2.149925468648175e-73,3.8816587662219927e-81,1.1599149836551418e-82,9.941093725514763e-18,1.5288764607472534e-21,4.979056973117513e-42,2.6870986821905496e-23,4.632524483573763e-75,6.419674743924513e-79
8.74344734371709e-22,0.2367522784320194,3.76,0.0,0.7140694219740547,0.9999999999999883,1.4201024398743944e-49,2.47371543215556e-35,1.7349525061541302e-30,5.374632916212648e-25,3.147686830950227e-21,3.070263791740571e-19,3.958867610070455e-36,1.137654366495267e-50,1.8053982755951383e-45,2.0593344900069136e-59,8.92395957104244e-71,5.532261992745696e-23,2.0466957670177505e-17,1.6534437674883434e-35,1.0387866601901218e-38,9.366962959730244e-41,1.420540413440548e-57,3.7317943104465504e-35,2.468018002515871e-35,9.160823007906616e-35,1.773194429886909e-49,1.4508283145245127e-41,3.6874952713944993e-38,1.2454871872649136e-55,9.613749414588893e-56,1.3116838593087532e-58,7.549279621383428e-57,1.065367365312138e-44,1.6699359040256182e-53,1.3210928110139452e-45,2.007648386484108e-56,1.0306065497521414e-54,3.070263791756825e-19,3.569515793444307e-37,4.4326532923263425e-36,1.506893743636868e-35,1.0945930295489203e-31,2.389249248641678e-38,4.171341810567789e-35,3.9333351362710564e-41,1.445098958918568e-35,2.900683498843625e-40,1.1629237379019435e-14,2.908348342560649e-52,2.81417426660643e-78,2.524296268423018e-61,9.010908172691765e-54,4.393416831447906e-61,2.7440130883370552e-70,2.6296825387633935e-63,1.754386569780501e-69,2.551782780460198e-84,1.6346062993800462e-39,5.638709152629798e-69,3.02909579458125e-53,6.620406315535344e-59,3.626396618566833e-72,6.546984864426652e-80,1.993588273475463e-81,2.04669576701774e-17,3.147686830950227e-21,2.0786582733462803e-41,5.532261992745248e-23,7.81342964556013e-74,1.0840181681653715e-77
1.773670746868324e-21,0.2367522784320194,3.76,0.0,0.7140694219740547,0.9999999999999764,1.1642857791988578e-48,1.010593469395823e-34,3.744620895077807e-30,1.0902826773954742e-24,6.3853075713561756e-21,6.228249406102254e-19,1.6173265933830543e-35,9.327177838346041e-50,1.4801745839021784e-44,1.6883668346530443e-58,1.4827230894762286e-69,1.1222588613856475e-22,4.1518685559502935e-17,6.754857295606172e-35,4.243782454617487e-38,3.826710005524457e-40,1.1698513563930654e-56,1.5245597412673583e-34,1.008265883473178e-34,3.742495109024095e-34,1.4537719255141724e-48,5.927107091896237e-41,1.5064621383725747e-37,1.0211256452861254e-54,7.948831731642796e-55,1.0753976764617712e-57,6.189355541872879e-56,4.352373777202406e-44,1.380734900003803e-52,5.3970951977974895e-45,1.6599603654731754e-55,8.521235811464671e-54,6.228249406135221e-19,1.4582636720600393e-36,1.8108835038278536e-35,6.156152630058244e-35,4.471769682618011e-31,9.76086277350094e-38,1.7041292371484284e-34,1.606895744735893e-40,5.903700771351415e-35,1.1850238562442339e-39,2.359073868305163e-14,2.3844396862324624e-51,4.664286084911742e-77,2.069570603314524e-60,7.450393131059414e-53,3.6019885592485047e-60,2.2512845580376816e-69,2.1559726353627632e-62,2.9077284749958708e-68,8.468419643975316e-83,6.677900092172303e-39,9.34572871356403e-68,2.5044839361884783e-52,5.4278090856205154e-58,5.956555829855258e-71,1.0753442299253316e-78,3.3042191272483517e-80,4.1518685559502485e-17,6.3853075713561756e-21,8.491997296131209e-41,1.1222588613854648e-22,1.283358165509247e-72,1.7815109224786667e-76
3.5723227718615535e-21,0.2367522784320194,3.76,0.0,0.7140694219740547,0.9999999999999525,9.428688101656601e-48,4.084980383399361e-34,8.448951380239069e-30,2.1959214492682883e-24,1.286054905216807e-20,1.2544220634825472e-18,6.53749267872859e-35,7.553390436909328e-49,1.1986837541613494e-43,1.36728323656191e-57,2.417207970640623e-68,2.260324185608083e-22,8.362214133815378e-17,2.730421319760117e-34,1.7154047204000709e-37,1.546817368061437e-39,9.494529095908155e-56,6.162514230333312e-34,4.075571908851774e-34,1.5127763604161193e-33,1.1773021968603677e-47,2.3958314798676257e-40,6.0893608258750895e-37,8.269340220228831e-54,6.463857084661393e-54,8.708849199657638e-57,5.012300587686602e-55,1.759299448426987e-43,1.1227905322546855e-51,2.1815921733702435e-44,1.349851352972481e-54,6.929320150046392e-53,1.2544220634891863e-18,5.894534918814083e-36,7.319880657810691e-35,2.48841532146597e-34,1.8075608031599564e-30,3.945496795790936e-37,6.8883628433750435e-34,6.495329520779876e-40,2.386370243826141e-34,4.790055895909464e-39,4.751374129080542e-14,1.9309810786774257e-50,7.594579658599264e-76,1.6759919494657933e-59,6.0585359611792374e-52,2.916983725994375e-59,1.8257024642757934e-68,1.7459625558759498e-61,4.734451461027076e-67,2.759308564222821e-81,2.699313987937301e-38,1.5217082171536682e-66,2.0365924639091922e-51,4.3955805230582606e-57,9.65598539150112e-70,1.743179336459584e-77,5.38005855584049e-79,8.362214133815198e-17,1.286054905216807e-20,3.4326010824663543e-40,2.260324185607344e-22,2.0803788899480094e-71,2.888717104228089e-75
7.169626821848014e-21,0.2367522784320194,3.76,0.0,0.7140694219740545,0.9999999999999046,7.589028461911824e-47,1.642552645854816e-33,2.059758717981671e-29,4.407198994311493e-24,2.5811032013791858e-20,2.5176163092271323e-18,2.628697053179328e-34,6.079625753742719e-48,9.648049684784073e-43,1.1005084997280275e-56,3.903793431051836e-67,4.536454834054073e-22,1.6782905289545544e-16,1.0978904038462385e-33,6.897566934487954e-37,6.21968460547146e-39,7.650319316980518e-55,2.4779198682946525e-33,1.6387695395393617e-33,6.082807210911396e-33,9.475952310039338e-47,9.633533225454502e-40,2.448505206102558e-36,6.655884425580303e-53,5.213334562535968e-53,7.009639488632216e-56,4.034335573264555e-54,7.074068754881965e-43,9.055711773861834e-51,8.772086197648221e-44,1.088703680443147e-53,5.588744831052801e-52,2.5176163092404516e-18,2.3701665657857975e-35,2.9432918184822438e-34,1.000580856300626e-33,7.268122490093017e-30,1.5864669086406026e-36,2.7697804031991133e-33,2.6117434328344482e-39,9.595489793981736e-34,1.9260604082792795e-38,9.535974650507065e-14,1.5542215636650985e-49,1.225768131736865e-74,1.348984157362941e-58,4.8864287382287e-51,2.3478422791249995e-58,1.4735952824190967e-67,1.4053025898878205e-60,7.641399399964275e-66,8.909635888797337e-80,1.0853822827323084e-37,2.456042061553182e-65,1.6425807179965034e-50,3.537945611931381e-56,1.5550788544287251e-68,2.807336582214148e-76,8.683431638181988e-78,1.678290528954482e-16,2.5811032013791855e-20,1.3802337981437e-39,4.536454834051101e-22,3.3503860677530196e-70,4.652840798886693e-74
1.4364234921820933e-20,0.2367522784320194,3.76,0.0,0.7140694219740543,0.9999999999998089,6.089717400963643e-46,6.587370760197044e-33,5.585475809598832e-29,8.829754089588218e-24,5.1711997937039435e-20,5.044004800716066e-18,1.0542250896741348e-33,4.8785167859249205e-47,7.741952259087164e-42,8.830887634108983e-56,6.275230811369768e-66,9.088716130950528e-22,3.362428760100588e-16,4.4030315629076234e-33,2.7662328419507434e-36,2.4943717089837477e-38,6.142215649547433e-54,9.937566948609105e-33,6.572198811195984e-33,2.4394777517771482e-32,7.603854954085169e-46,3.863477868088167e-39,9.81960099719117e-36,5.340928078568834e-52,4.187633696084899e-52,5.624794237937161e-55,3.2373002239625576e-53,2.837020412177159e-42,7.274039917159435e-50,3.517998921188688e-43,8.745058677682487e-53,4.4891826197380003e-51,5.044004800742733e-18,9.505428012004488e-35,1.1803916611404207e-33,4.0127767543898964e-33,2.9148421932501375e-29,6.362441868142943e-36,1.1108058231379157e-32,1.0474259296674834e-38,3.8482205761034345e-33,7.724363688493836e-38,1.910517569286316e-13,1.2471649233674268e-48,1.9697764115331037e-73,1.0824748758531065e-57,3.9250452979392382e-50,1.8839955744316846e-57,1.18906520555049e-66,1.1276668730383642e-59,1.2279504267188766e-64,2.8639221643699964e-78,4.352868404427052e-37,3.946792753636221e-64,1.3194082115188524e-49,2.838978541721438e-55,2.496255715025369e-67,4.506396945949022e-75,1.395403788902285e-76,3.362428760100296e-16,5.171199793703941e-20,5.535354855306848e-39,9.088716130938607e-22,5.378111637329706e-69,7.469361541406921e-73
