Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86),CF2(87),F[C]C(F)F(180),CH2F(89)
0.0,0.2742066559882533,3.76,0.0,0.8471328709262557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5425310503066313e-22,0.2742066559882533,3.76,0.0,0.8471328709262557,0.9999999999999997,1.9855948852753336e-53,1.428995958311026e-38,1.4952468822046695e-34,8.308628252701871e-30,6.5908903107985e-25,7.915638751176867e-22,3.2101434232886447e-40,1.3010637242953861e-55,7.857669492331088e-50,1.0404444344031947e-66,1.2281316525742633e-78,1.9811989116243007e-27,2.1539586149096678e-20,5.225679213862975e-40,1.5508707055794418e-43,6.181197833287988e-47,2.5731790768107286e-65,1.5880183535218472e-38,1.4290226526216934e-38,1.5773527406474422e-39,5.191721923666168e-60,2.2783955762104377e-47,2.4019703813150882e-43,2.832465395320577e-64,1.191486882296184e-62,2.1956152720576867e-66,1.5966471597625964e-64,1.0390896393593725e-51,1.3690227062798903e-59,3.3465279130721316e-51,2.996567316043878e-64,3.950252889971207e-62,7.915638751178162e-22,4.71256940764958e-41,6.156134169720297e-40,9.654365254864116e-39,1.9755439394354773e-35,1.63645255941447e-43,8.440223512257068e-38,1.7807906467013275e-46,1.949663623568701e-39,1.2383709362209056e-45,4.092676374578794e-16,8.089233785865635e-58,4.4705522692565116e-86,2.7916863864048605e-69,2.0259383924631436e-60,9.858025249690878e-67,1.802735470746263e-79,2.2288932391346726e-72,1.6840057016150536e-75,3.145428741462668e-92,9.691309578155588e-45,1.4118579493831136e-76,3.984988617941461e-59,1.3183618569737537e-66,8.426108749773907e-80,6.517316646792916e-92,6.698742548816252e-94,2.1539586149096654e-20,6.5908903107985e-25,1.774993393716057e-47,1.9811989116147975e-27
7.119086940858568e-22,0.2742066559882532,3.76,0.0,0.8471328709262557,0.9999999999999988,2.3572982477998964e-52,8.631135588202674e-38,4.82677331298675e-34,2.3264159165336617e-29,1.8454492870235803e-24,2.2163788503295212e-21,1.9389266276663402e-39,1.5446228534834802e-54,9.328625221294227e-49,1.2352156325223208e-65,3.861424973674042e-77,5.5473569525788305e-27,6.031084121747072e-20,3.1563102451732324e-39,9.367259061699828e-43,3.733443491305735e-46,3.368767642918094e-64,9.591630855271942e-38,8.631296821835316e-38,9.527210553510538e-39,6.1636122677764505e-59,1.3761509343777355e-46,1.4507901103143162e-42,3.3627029173245965e-63,1.8005731274970182e-61,2.6066344509868777e-65,1.8955395080701532e-63,6.276109901106446e-51,2.0688669646601365e-58,2.0213028597845473e-50,4.5284082245118383e-63,5.969609534391635e-61,2.2163788503298842e-21,2.846391922232399e-40,3.7183050385087614e-39,5.831236613931784e-38,1.1932285394190229e-34,9.884173458846885e-43,5.09789500140323e-37,1.0755975506162892e-45,1.1775968286351988e-38,7.479760454759349e-45,1.1459493848801418e-15,9.603538350577232e-57,1.2607660199788596e-84,3.314290092063284e-68,3.061598098690278e-59,1.1703447577964487e-65,2.183352657991031e-78,2.646142064917956e-71,4.749133367933096e-74,1.6281618372116893e-90,5.853550985358585e-44,3.981658662131232e-75,6.022072531334574e-58,1.5651591966031248e-65,1.8856860304002956e-78,1.457897664621061e-90,1.8891489278837482e-92,6.031084121747058e-20,1.8454492870235803e-24,1.072096009813539e-46,5.5473569525214326e-27
1.6272198721962441e-21,0.2742066559882533,3.76,0.0,0.8471328709262557,0.9999999999999973,2.3144093982800892e-51,4.1555202467745765e-37,1.4050154345805584e-33,5.317522122169163e-29,4.21816979891104e-24,5.066008800753187e-21,9.335097074923363e-39,1.516519877038696e-53,9.15889956025727e-48,1.2127420327367913e-64,8.614615726923648e-76,1.2679673034611051e-26,1.3785335135421876e-19,1.5196275153913457e-38,4.509932011825011e-42,1.797492329919832e-45,3.445020540903136e-63,4.617957372041512e-37,4.155597873824314e-37,4.5869417698027424e-38,6.0514710742252065e-58,6.625574429006095e-46,6.984929868864313e-42,3.301521664785682e-62,1.9369737691901144e-60,2.5592091611104117e-64,1.8610519294192763e-62,3.0216851480529255e-50,2.225592621465633e-57,9.731703175465885e-50,4.871453443385365e-62,6.421829179403693e-60,5.0660088007540146e-21,1.370415183762577e-39,1.790203816551214e-38,2.80748941610527e-37,5.744881775878284e-34,4.758804042752507e-42,2.4544169973642945e-36,5.178539200735285e-45,5.669621817333337e-38,3.6011826825080103e-44,2.6193128797169857e-15,9.428810900797385e-56,2.742440524145066e-83,3.253989694962282e-67,3.2935275258594395e-58,1.1490514235699704e-64,2.2338241571161603e-77,2.597997994263295e-70,1.033037782684241e-72,7.109187209052145e-89,2.818232825556558e-43,8.660971875188525e-74,6.478256275715286e-57,1.536682580500215e-64,3.7265044649149355e-77,2.8805601085231872e-89,4.109308767854287e-91,1.3785335135421823e-19,4.21816979891104e-24,5.161680789059313e-46,1.26796730343347e-26
3.457842228417019e-21,0.2742066559882533,3.76,0.0,0.8471328709262557,0.9999999999999943,2.047068902930094e-50,1.8148248670613197e-36,4.273822909646176e-33,1.1299734625874368e-28,8.96361082268596e-24,1.0765268701600501e-20,4.0768821475765655e-38,1.3413446571995576e-52,8.1009429398055795e-47,1.0726565940848148e-63,1.613421391758726e-74,2.694430519916812e-26,2.9293837162771486e-19,6.636612601605896e-38,1.9696057960858839e-41,7.850121248272488e-45,3.1017066044595325e-62,2.0167833089727244e-36,1.8148587688299946e-36,2.0032379806222295e-37,5.352457634422706e-57,2.8935624774400533e-45,3.0505023842701965e-41,2.920158523959733e-61,1.780412374366104e-59,2.2635915208805295e-63,1.646079355828832e-61,1.3196566216171243e-49,2.0457030363697344e-56,4.2500904539569396e-49,4.4777044550225905e-61,5.9027658233320445e-59,1.0765268701602253e-20,5.984963147901779e-39,7.818290395509132e-38,1.2261043873582203e-36,2.508940803082967e-33,2.0782947504307799e-41,1.0719083860565848e-35,2.261604121441612e-44,2.4760728019276568e-37,1.5727310889774206e-43,5.5660398693599475e-15,8.339676463860072e-55,5.0840218376430246e-82,2.8781170863511886e-66,3.027319221089763e-57,1.0163229721119776e-63,2.135720975332071e-76,2.2978998460864396e-69,1.9150761362532825e-71,2.6465714732435226e-87,1.2307963166623032e-42,1.6055978229039407e-72,5.954628348637128e-56,1.3591783400896862e-63,6.631693014050385e-76,5.125802805381954e-88,7.617963845828253e-90,2.929383716277123e-19,8.96361082268596e-24,2.254241610155638e-45,2.6944305197961224e-26
7.119086940858568e-21,0.2742066559882533,3.76,0.0,0.8471328709262557,0.9999999999999885,1.7206847580734784e-49,7.576536571021911e-36,1.4107962933784665e-32,2.326416000302161e-28,1.8454492870235802e-23,2.216378850329506e-20,1.702018043027628e-37,1.1274810064547686e-51,6.809330659327592e-46,9.016324997292455e-63,2.7867836106734342e-73,5.547356953025281e-26,6.031084121747071e-19,2.7706551191900783e-37,8.222716480982133e-41,3.277271091206363e-44,2.628829299150562e-61,8.419673310372641e-36,7.576678104204214e-36,8.363124230912545e-37,4.499063151498022e-56,1.208005420231628e-44,1.273524696173291e-40,2.4545691921385448e-60,1.5231801823690222e-58,1.9026850649207224e-62,1.3836288822956833e-60,5.509367800024119e-49,1.750142009967657e-55,1.7743291034141307e-48,3.830770228283272e-60,5.049939835046543e-58,2.216378850329864e-20,2.498604300103938e-38,3.2639823367536206e-37,5.118744458043252e-36,1.0474333966886106e-32,8.67647146978515e-41,4.47500650619813e-35,9.441752009983813e-44,1.0337116532119917e-36,6.565842703635077e-43,1.1459493848522974e-14,7.010000571061625e-54,8.73813402506014e-81,2.4192309169981432e-65,2.589935329664085e-56,8.542806970496368e-63,2.0640347262101757e-75,1.931523349274431e-68,3.2915251824051096e-70,9.117838974893423e-86,5.138332340466989e-42,2.759612124622377e-71,5.094307906560724e-55,1.1424712915070555e-62,1.1185789517778363e-74,8.64541563436841e-87,1.3093331872496478e-88,6.031084121746967e-19,1.8454492870235802e-23,9.411014974703576e-45,5.547356952521424e-26
1.4441576365741666e-20,0.2742066559882533,3.76,0.0,0.8471328709262557,0.9999999999999767,1.4107213240735238e-48,3.095262405588149e-35,5.01623432780894e-32,4.719301223626339e-28,3.7436256965335486e-23,4.496082810668391e-20,6.953299060580042e-37,9.24377048624798e-51,5.582700676933941e-45,7.3921279760721625e-62,4.630282164130981e-72,1.125320982003043e-25,1.2234484932686917e-18,1.1319030204395159e-36,3.359247983113237e-40,1.3388721754790328e-43,2.1638916776536695e-60,3.439711274462297e-35,3.095320226488077e-35,3.41660913035182e-36,3.6886037935442265e-55,4.935096678199608e-44,5.2027639247439945e-40,2.0124041225394383e-59,1.2593947957840908e-57,1.5599361716115812e-61,1.134382553041991e-59,2.2508064927090095e-48,1.4470512554946828e-54,7.248713353810331e-48,3.1673548244790964e-59,4.175387676745524e-57,4.4960828106691066e-20,1.0207613841168803e-37,1.3334432856709325e-36,2.0911741315920244e-35,4.2791071945741464e-32,3.544621701599073e-40,1.8281861736484505e-34,3.8572637733723485e-43,4.223049395159753e-36,2.6823609825156862e-42,2.324640180635742e-14,5.747221994526309e-53,1.4482815897904072e-79,1.983431811090219e-64,2.141408615004772e-55,7.003909304423739e-62,2.1329974264454654e-74,1.5835796538582778e-67,5.45546050941447e-69,3.0258781633446433e-84,2.099176421669278e-41,4.573854482533765e-70,4.212071504681038e-54,9.366669900234609e-62,1.837307292497268e-73,1.4200121140019193e-85,2.1701236119888196e-87,1.2234484932686487e-18,3.7436256965335486e-23,3.844706691556406e-44,1.125320981797201e-25
2.908655521550786e-20,0.2742066559882533,3.76,0.0,0.8471328709262557,0.9999999999999531,1.1424387036721582e-47,1.251154553346897e-34,1.8781550515080004e-31,9.505072261853622e-28,7.539978515553485e-23,9.055490731346055e-20,2.8106346539734503e-36,7.485845000697367e-50,4.521015749449614e-44,5.986336888689293e-61,7.54852816472148e-71,2.266491555719358e-25,2.4641286554566607e-18,4.575332984338808e-36,1.3578617445286214e-39,5.411935400519244e-43,1.755813668237753e-59,1.3903862933892107e-34,1.2511779254604027e-34,1.381048037368251e-35,2.987126985523143e-54,1.9948452851496897e-43,2.103040363419877e-39,1.629697033532766e-58,1.0241189188189329e-56,1.2632767558473187e-60,9.186524023071606e-59,9.098523755117911e-48,1.176718047851587e-53,2.930045848335093e-47,2.57564030948642e-58,3.3953558226370553e-56,9.055490731347449e-20,4.126080720899723e-37,5.3899909598068315e-36,8.452860189568885e-35,1.7296835450842984e-31,1.4327927653297808e-39,7.3898208157057126e-34,1.5591676899527307e-42,1.7070240862595427e-35,1.0842531963213671e-41,4.682021772005991e-14,4.654249377918721e-52,2.358151092794367e-78,1.6062347338231208e-63,1.7413579221075137e-54,5.6719473681989075e-61,2.441245198664857e-73,1.2824240460400313e-66,8.882802339156691e-68,9.859383200254043e-83,8.485206733361699e-41,7.447336146391673e-69,3.425186284101967e-53,7.58537213314042e-61,2.978384883881496e-72,2.301900829276795e-84,3.533483636121911e-86,2.464128655456488e-18,7.539978515553484e-23,1.5540919167290755e-43,2.2664915548873116e-25
5.837651291504026e-20,0.2742066559882533,3.76,0.0,0.8471328709262557,0.999999999999906,9.195340586639363e-47,5.030837431393459e-34,7.252994336325466e-31,1.907661670462387e-27,1.5132684153593359e-22,1.8174306572700952e-19,1.130143832742399e-35,6.025259310357067e-49,3.638906794604404e-43,4.818324727243721e-60,1.219089284167348e-69,4.54883270441313e-25,4.945488979832599e-18,1.8397212699569157e-35,5.4599023538202606e-39,2.176115421983834e-42,1.4146049217714329e-58,5.590682134306701e-34,5.030931409483361e-34,5.553133417557841e-35,2.404299672122784e-53,8.021187587065993e-43,8.456232806236749e-39,1.3117219530249046e-57,8.259890038678698e-56,1.0167950356995549e-59,7.394113743294851e-58,3.6588013059077887e-47,9.490657346943502e-53,1.178158559879121e-46,2.077347205977739e-57,2.738477439169475e-55,1.8174306572703574e-19,1.659078911190434e-36,2.1672916588054765e-35,3.3988579049517923e-34,6.954981460535668e-31,5.761196692219674e-39,2.971414448380956e-33,6.269344709942463e-42,6.863868773085069e-35,4.3597344146272446e-41,9.39678495395993e-14,3.746144809827219e-51,3.806065344064313e-77,1.2928378220940294e-62,1.4044682492025548e-53,4.56527673022192e-60,3.114118472492376e-72,1.032206738861436e-65,1.4336878099811312e-66,3.1835350504655055e-81,3.4118643142541118e-40,1.2020030419624764e-67,2.7625367002338952e-52,6.105367406200777e-60,4.796621584661862e-71,3.707140321913245e-83,5.70305675647872e-85,4.945488979831903e-18,1.5132684153593352e-22,6.248935249185973e-43,4.548832701067507e-25
1.1695642831410504e-19,0.2742066559882533,3.76,0.0,0.8471328709262557,0.9999999999998117,7.378681718899088e-46,2.0175908198222855e-33,2.848977709540708e-30,3.8219715055427136e-27,3.0318095429673106e-22,3.6411938255409026e-19,4.532382238480204e-35,4.8348911389835414e-48,2.9199935322709564e-42,3.866402145619671e-59,1.9596503949498636e-68,9.113515006845233e-25,9.908209628584474e-18,7.378105127974629e-35,2.1896650439830692e-38,8.727196133499119e-42,1.1356803089231515e-57,2.242113585226486e-33,2.017628509118846e-33,2.227054870402789e-34,1.929299069373013e-52,3.2168569294424506e-42,3.3913275695578745e-38,1.052574257939594e-56,6.634792849554722e-55,8.15913980633839e-59,5.933310613974992e-57,1.467603582328412e-46,7.623412103408165e-52,4.724942858228513e-46,1.6686382418052e-56,2.1996939891726385e-54,3.641193825541358e-19,6.653648478894492e-36,8.69180889596321e-35,1.3630940373251314e-33,2.7892586348216822e-30,2.3104975488736866e-38,1.1916700935588962e-32,2.5142876346524336e-41,2.752718371946833e-34,1.7484484936774758e-40,1.882631131472157e-13,3.006045285820267e-50,6.11624480896292e-76,1.0374215244234947e-61,1.1281452760191503e-52,3.6633471291545597e-59,4.343189251560703e-71,8.282813804584987e-65,2.3038977673040725e-65,1.0233188886473958e-79,1.3683101942412256e-39,1.9315866081537738e-66,2.2190196614418618e-51,4.8991728424532145e-59,7.699659604706782e-70,5.950781224444929e-82,9.16465904259851e-84,9.908209628581684e-18,3.0318095429673077e-22,2.5061025281620876e-42,9.113514993427794e-25
