grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_C2HF(57),Y_CF2CF2(60),Y_CHF2-CH2(63),Y_CH3-CF2(64),Y_CHF2-CHF(66),Y_CH2F-CF2(67),Y_CHF2-CF2(68),Y_HCCO(68),Y_C2H2(70),Y_CHFCF[Z](71),Y_CF2CH(72),Y_CH2CO(75),Y_CHF2(81),Y_CHF(86),Y_CF2(87),Y_CH2F(89),Y_FC1OO1(129),Y_[O]C([O])F(131),Y_CHO2(135),Y_CFO2(136),Y_CF2O2(144),Y_[O]OC(F)F(163),Y_FC(F)C(F)F(164),Y_[O]C(F)F(170),Y_[O]O[C](F)F(171),Y_O2(177),Y_F[C]C(F)F(180),Y_O[C](F)F(232),Y_C2F4O2(248),Y_FC1OC1(F)F(275),Y_F[C]C(F)F(316),Y_C2HFO(390),Y_C2HF4O2(419),Y_CF3O2(433),Y_C2HF3O(474),Y_C2HF(510),Y_C2HFO2(557),Y_C2H2F3O2(649),Y_C2HF2O3(898),Y_FC1(F)OO1(924),Y_C2HF2O(1009),Y_C2H2F3(1097),Y_FC1(F)CO1(1188),Y_C2H3F2O2(1290),Y_[C]#CF(2151),Y_C2HF(2152),Y_C2HFO3(2756)
0.0,0.026147102455750342,298.0,1.2701791881389601,0.6236252843304627,0.0,0.18692941402694913,0.18944519127985485,1.0295228483925137e-08,0.0,2.953237192195643e-15,1.4347724430597254e-13,8.196458031701588e-08,1.9035612498523608e-13,5.930167443319502e-13,1.439766239630965e-09,6.108156687202241e-10,1.302049531176859e-27,9.365912685204558e-14,0.0,1.604399361743685e-08,8.920755209027701e-27,1.0212343806545586e-12,0.0,2.2065562903164745e-13,8.087520333841571e-15,4.803897822798049e-12,2.065070737900299e-13,2.53342829008961e-18,0.0,2.0399167351228008e-13,0.0,3.988410262455989e-14,6.836581220340994e-34,3.611778436974696e-31,8.64084059769134e-28,2.4608981792285774e-28,0.0,0.0,2.2647902165502713e-15,1.065554621731414e-22,0.0,5.811456025182325e-14,4.040512661024464e-13,6.047234584374164e-24,9.230887304868493e-15,0.0,8.580961278489764e-14,0.0,0.0,7.123311423697831e-21,0.0,0.0,4.642741195545952e-14,0.0,0.0,0.0,0.0,7.075537584359688e-36,2.107682820347844e-31,1.5198594552636791e-13,0.0,0.0,0.0,1.2417088953088292e-14,1.5747302573929995e-33,5.0176753004317674e-14,0.0,0.0,0.0,1.4641369877344613e-19,0.0,0.0,0.0,5.973476039175744e-16,0.0,0.0,0.0
0.008,0.026147388837277453,298.0022468066838,1.2701652764563873,0.6236248856861916,0.0,0.1869294792474496,0.18944499792829445,1.1353934599265938e-07,0.0,5.109824826911808e-21,0.0,3.084620481890306e-07,2.23049552356936e-12,6.310393327202143e-12,1.686394433528376e-08,9.324142900185086e-09,1.9932270976055232e-26,3.0599786197854677e-13,0.0,1.8881068582507762e-07,1.5072715450018988e-25,9.377781184227342e-12,0.0,3.7799644229222045e-20,1.8284878480989735e-13,1.1039652717335715e-10,3.232231367300953e-12,2.695647676859542e-18,2.6979992016603017e-12,1.1201763946838087e-12,0.0,6.569322189859623e-14,1.563481498851387e-32,8.075580807856736e-30,2.002353659237306e-26,5.702877998076196e-27,0.0,0.0,1.5749770154498282e-14,2.069025445413766e-21,0.0,5.910074377146562e-14,0.0,3.9199018846184644e-24,1.471703226780314e-13,0.0,8.580980433089204e-14,2.8987051230788638e-31,1.0626477697171182e-28,1.808088410584111e-19,0.0,0.0,1.1192492531703853e-12,0.0,0.0,5.579113867699733e-18,0.0,1.7511539744210138e-34,6.401958723529784e-30,1.5198602965505416e-13,0.0,0.0,0.0,3.4684429326857585e-13,4.452011443333642e-32,5.0176775197147454e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147566441731813e-16,0.0,0.0,0.0
0.012,0.026148424431580584,298.01236082275557,1.2701149724723368,0.6236238086814755,0.0,0.1869296539860585,0.1894442066034422,5.534016618155004e-07,0.0,0.0,0.0,6.564124665801903e-07,9.995736335529723e-12,3.271399049864234e-11,8.653876802957902e-08,6.034199532292405e-08,1.493539245757429e-26,1.5593271189248957e-12,1.2838627246314084e-27,9.728221442780802e-07,1.6498197763865406e-26,6.865404232866017e-11,0.0,1.345411453717992e-26,2.3839465761530613e-12,1.0347837948466112e-09,1.7085886129513254e-11,4.031877101095696e-18,2.375778375547369e-11,7.923322741753842e-12,2.542678818337538e-13,2.7789229548246335e-13,5.058084204851565e-31,2.6138634048093653e-28,9.784102056058377e-25,2.7865894728886336e-25,4.319041070850883e-26,0.0,8.99254108539463e-14,2.7418661012567654e-21,0.0,6.579769550310796e-14,0.0,7.97393466647569e-23,9.178994761083011e-13,0.0,8.580992959781455e-14,2.925107818224192e-31,2.162013655310253e-27,1.8022791938831394e-18,1.8557780387988708e-33,0.0,1.0888243570355142e-11,0.0,4.976349112119255e-35,5.5870596085437544e-18,0.0,0.0,2.7089188400424226e-29,1.519862557745202e-13,1.7368863683867477e-17,0.0,0.0,3.4700769853472567e-13,4.609455877956753e-33,5.017682901776084e-14,8.935541669536831e-18,0.0,0.0,9.703451760785287e-18,0.0,0.0,0.0,8.150709376555382e-16,0.0,0.0,0.0
0.016,0.026154465145372462,298.0764282107595,1.269821624162838,0.6236186708024858,0.0,0.18693040550066073,0.18943924508551377,3.1981477076540457e-06,9.399335966222405e-19,3.1030221037743317e-25,0.0,1.4849689264455812e-06,6.015484738366691e-11,2.0119858876647856e-10,5.293362825670816e-07,4.7555911922262634e-07,3.4933491105108e-27,1.1838752587058346e-11,3.815147735571358e-26,5.976948693644816e-06,0.0,6.489279259278607e-10,0.0,3.748304438246205e-31,2.7409952751370314e-11,1.2116191603314738e-08,1.0626230241150139e-10,1.9016703386398488e-17,2.4681973103827175e-10,7.753318553238292e-11,3.3136771694918153e-12,2.673924005556509e-12,2.993997395506227e-29,1.545239436570129e-26,6.145040036954885e-23,1.7501195074972346e-23,2.5726000692475085e-24,0.0,6.585653029725018e-13,6.4110185381851394e-21,0.0,1.286543562797678e-13,2.297099370797513e-21,2.9728621471434893e-21,6.9002229310737024e-12,0.0,8.581045823567685e-14,3.797854707819848e-31,8.057538573561856e-26,2.1282531625187264e-17,1.5085977207746877e-32,7.2273028954363284e-12,1.3272863822669005e-10,6.447573591749386e-35,4.018735032550719e-34,5.632807241554255e-18,0.0,4.332146281396095e-34,2.6114439770353134e-28,1.519874887667603e-13,2.3893178915749403e-16,1.0733065710192726e-33,0.0,3.4943827544042025e-13,0.0,5.017703823676811e-14,1.8207683193273342e-16,0.0,0.0,1.3933276741454226e-16,0.0,0.0,0.0,3.9543739138758295e-15,0.0,0.0,2.895715152080105e-39
0.018000000000000002,0.026169102340267647,298.2365755462502,1.2691113760761423,0.6236078329524272,0.0,0.18693161486037893,0.18942665775104728,9.488923617413238e-06,1.3579610883814143e-17,5.183369008812546e-24,0.0,2.3281269789695965e-06,1.8768646902761048e-10,6.253448062425525e-10,1.6394978924217327e-06,1.7940989736639634e-06,1.0619722144679098e-26,4.472347397655189e-11,3.509270881465464e-25,1.857398514480402e-05,0.0,2.850611366591852e-09,0.0,2.5626210815277484e-29,1.3718804913152045e-10,6.329247982987805e-08,3.325768841753853e-10,8.845008135014166e-17,1.1602643609824927e-09,3.531991712076708e-10,1.4024585395794902e-11,1.3114014745632932e-11,4.303030556575051e-28,2.2138019224763375e-25,9.053662238008984e-22,2.578367091427564e-22,3.940789865605127e-23,0.0,2.3636039141181733e-12,1.2540095889807459e-20,4.835152716070996e-31,3.576373170199312e-13,5.685473396647851e-20,2.884725213055228e-20,2.5062665258197558e-11,0.0,8.581158090548683e-14,1.1446029377702511e-30,7.811700361597599e-25,1.0019379738633022e-16,5.937898283742003e-32,4.628605373680447e-11,7.175315829543666e-10,1.7046768537881767e-33,1.4808612981300925e-33,5.748712338805431e-18,0.0,2.2879110644113398e-32,1.2867867550189524e-27,1.5199095076894146e-13,1.1816223253954832e-15,0.0,4.7477493060525094e-14,3.6331910703431227e-13,0.0,5.0177302245810125e-14,1.0668700398315568e-15,0.0,0.0,7.983633579350274e-16,0.0,0.0,0.0,2.2782983477746632e-14,0.0,0.0,0.0
0.02,0.02622209404795865,298.82314363681934,1.266546662890495,0.6235725695179133,0.0,0.18693358918570313,0.18937967179180615,3.149707318348852e-05,1.7706816882751635e-16,1.23891513707785e-22,3.8319029784840945e-17,3.751249922118834e-06,6.608573267232909e-10,2.1884107169582172e-09,5.714265987323727e-06,7.80614628985371e-06,5.897419163687192e-25,1.9568209974421656e-10,4.169933939421979e-24,6.497257085008506e-05,1.0101882018850188e-25,1.4702174010014349e-08,2.512075453906395e-31,1.7473480531266602e-27,8.146453711158607e-10,3.948864436444093e-07,1.1724928788581925e-09,5.063175958765497e-16,6.443056044746903e-09,1.897996956770958e-09,6.750214716574787e-11,7.713557534642637e-11,8.476686948828946e-27,4.3107058224747105e-24,1.7985456623557846e-20,5.121060860396884e-21,8.156681677656985e-22,5.343307221006612e-26,9.736228891677273e-12,2.741917845350745e-20,3.450420106678158e-29,1.5440717842638044e-12,7.540894928527356e-19,3.4933227229184143e-19,1.045519530991209e-10,2.1107434261836696e-31,8.58153007250297e-14,1.0631756760808458e-29,9.429580380880164e-24,5.528727752501106e-16,2.9204284630277105e-31,3.26441363773774e-10,4.648040101809514e-09,3.8078508176681137e-32,6.512259148665676e-33,6.192787719568219e-18,0.0,1.2733156953092622e-30,7.700886816885868e-27,1.5200787214686866e-13,6.833780976828744e-15,3.3650870523164825e-33,6.718083898783746e-13,4.734871045440254e-13,2.6721412830034466e-32,5.0177181215334235e-14,7.379097190998216e-15,0.0,0.0,5.4770118719006435e-15,3.2158685038042633e-27,0.0,0.0,1.7933896382115322e-13,0.0,0.0,8.267199405426056e-39
0.022,0.026414547171337892,300.96437893111045,1.2573187872666087,0.6234578006182251,0.0,0.18692964016780161,0.18920525497830631,0.0001080020554379044,2.4256665359390995e-15,4.343327035806217e-21,3.2358826150812995e-16,6.142043526003222e-06,2.436046058314724e-09,7.901713752007289e-09,2.0587238337544875e-05,3.505300623722447e-05,3.6135777839644145e-23,8.842471383625953e-10,5.1788155114608684e-23,0.00023480969729981402,4.577734423328935e-24,7.810446304501534e-08,1.264600844712836e-29,1.3314764690155803e-25,4.968886291005924e-09,2.5297929975347643e-06,4.2723499809910694e-09,3.1143100002199024e-15,3.6806981720437677e-08,1.0501584628956948e-08,3.328909609792147e-10,4.673216146251166e-10,2.0000348146935398e-25,9.752595412502574e-23,4.010549592607305e-19,1.141168832267402e-19,1.818292869282582e-20,3.660340230969366e-24,4.1426110982905424e-11,4.901001618173157e-20,2.7895006873587695e-27,7.652218551642784e-12,1.0660359721271943e-17,4.31634390429514e-18,4.5135412794047955e-10,1.327043244464151e-29,8.582764404142506e-14,1.314647451997658e-28,1.1523057644988763e-22,2.8430460928744603e-15,1.8461627075064597e-30,2.3180636842327022e-09,3.089781899516505e-08,3.9998486648951374e-30,3.4057043477873097e-32,8.105368741768264e-18,0.0,8.312560177208359e-29,4.974817527969976e-26,1.5210175701518246e-13,4.051027642908647e-14,1.5239059860729381e-31,5.76561257004077e-12,1.3423171530649041e-12,1.324535762350413e-30,5.017094880014841e-14,5.212078439502396e-14,0.0,0.0,3.8480013816911305e-14,2.2141595410031015e-25,4.93465445205912e-28,2.280233999865202e-14,1.4720466451629798e-12,0.0,0.0,3.7083227745310464e-37
0.023,0.026699890783791452,304.14465713310165,1.243881765066865,0.6233059439672527,0.0,0.18690410642419206,0.1889430843281137,0.00021638631973507647,1.0931233886056283e-14,3.719200123562858e-20,7.826592867471059e-16,7.938648142353757e-06,5.292467319908359e-09,1.6309399599955828e-08,4.2650690785528015e-05,8.437183283688913e-05,3.8962917534658943e-22,2.1373321272609e-09,2.156854380194105e-22,0.0004871083998653376,3.224177255945906e-23,2.1210918184011304e-07,8.998645998115666e-29,1.7475343736022028e-24,1.4954504976861503e-08,7.904213147041611e-06,8.917854982940362e-09,1.0895134350097631e-14,1.0547645903606356e-07,2.9389279603411e-08,8.557506883544732e-10,1.4001698969249477e-09,1.5041975356024686e-24,6.898733988743248e-22,2.7146217705943425e-18,7.716854806801309e-19,1.1830628524678072e-19,4.266637331866464e-23,9.604382276401573e-11,5.597903749723896e-20,3.8640116781822286e-26,2.0100541593130455e-11,5.04256377839473e-17,1.7635906230588126e-17,1.0630464269765202e-09,1.2675906371909318e-28,8.584418816293131e-14,5.62150605613679e-28,4.638332680028523e-22,6.912699217273271e-15,7.263307518088035e-30,7.799813993413969e-09,9.9322455114084e-08,1.1059393308692687e-28,1.0636133052463375e-31,1.2003915159784995e-17,0.0,1.0660931231359386e-27,1.6436238934622206e-25,1.5232644177652592e-13,1.1929070952040806e-13,1.0987267589879676e-30,2.1613720967195312e-11,3.996568216025109e-12,9.206763701779002e-30,5.014963381620895e-14,1.7553211000568848e-13,0.0,0.0,1.2910534147279425e-13,2.668113997909438e-24,3.146313538143749e-25,1.238030463731789e-13,5.593715639866438e-12,0.0,0.0,2.638240553443062e-36
0.024,0.02735248065873581,311.4194053733955,1.2142046363684857,0.6229989455352126,0.0,0.18679693146809195,0.188342621387372,0.0004524996083076542,5.308945239724359e-14,3.8523784317995675e-19,1.837675360209862e-15,1.0304208968641007e-05,1.2422656826096122e-08,3.517451495469056e-08,9.277896627128511e-05,0.0002173007450798365,4.795276032620774e-21,5.526916803485275e-09,9.78291611098793e-22,0.0010597149337766166,2.379082711606187e-22,6.262752149089072e-07,7.079857038835293e-28,2.9550683164762153e-23,4.958520582117927e-08,2.733961852101501e-05,1.9565090841342635e-08,4.503635720324189e-14,3.3100125578388154e-07,8.978888091772367e-08,2.374461944247877e-09,4.621371363079544e-09,1.7265478864748626e-23,6.914953992057824e-21,2.40594477628199e-17,6.825743008542132e-18,9.22865470234694e-19,5.866952144143358e-22,2.3712343951726037e-10,1.0408348575872272e-19,7.048997073204489e-25,5.731996512979978e-11,2.751981716358826e-16,7.597355897590009e-17,2.6840531046198027e-09,1.4186174276092931e-27,8.587796734605968e-14,2.7504221135251763e-27,1.940589388909973e-21,1.902512053608983e-14,5.401242701831645e-29,2.9331093525301134e-08,3.547474911369732e-07,5.113111416782173e-27,5.048457261164952e-31,2.8595622703768674e-17,0.0,2.1728205203795164e-26,6.833709685089779e-25,1.5314208608390547e-13,3.8593137319787454e-13,9.423741319971854e-30,9.114176105334216e-11,1.545391947491051e-11,6.850178821286533e-29,5.00658144417384e-14,6.604662349461465e-13,1.5556258952391755e-12,1.0354251321722583e-12,4.838358525521371e-13,4.4755599841068546e-23,1.0324367880569722e-23,5.220266770915414e-13,2.409961907202836e-11,0.0,0.0,2.194230378421058e-35
0.0245,0.027986299087314863,318.48034939492163,1.186706033289663,0.6227366757878503,0.0,0.18664175856158394,0.18775926125723763,0.0006721631364668677,1.252863064019867e-13,1.4158115587380254e-18,2.924208833856412e-15,1.1762819075737255e-05,2.0444647044409446e-08,5.29423052055967e-08,0.0001412924890363041,0.00036644827546301927,1.876568490143294e-20,9.337122523885095e-09,2.3038620101294524e-21,0.0016119466459429334,7.515861201525101e-22,1.1510375695375037e-06,2.31178760566878e-27,1.5093430509381835e-22,9.824692946875563e-08,5.570720712980588e-05,2.994821686100712e-08,1.1570626586619508e-13,6.328386290043069e-07,1.687094980769409e-07,4.195633836053674e-09,9.133824224457507e-09,8.259424628864472e-23,2.9173493445804976e-20,8.988573521364053e-17,2.5457517675335182e-17,3.044373694155e-18,2.4933379291898355e-21,3.8964181667278944e-10,2.9782552168236895e-19,3.7855716742025884e-24,1.0306119269265032e-10,7.307761203689528e-16,1.6958345704595548e-16,4.505913961655273e-09,5.8951322257911056e-27,8.590689839472352e-14,7.074886176878413e-27,4.22763771493226e-21,3.633310640756703e-14,2.4804741362948562e-28,6.313558195840677e-08,7.385345712624535e-07,4.930295778564422e-26,1.5305900077449271e-30,6.392350526851824e-17,0.0,1.44771954221953e-25,1.6970285262273653e-24,1.543666438103787e-13,7.525021584469759e-13,3.379992120076714e-29,2.1059253825492776e-10,3.511968035268371e-11,2.1160654127134863e-28,4.994193597486837e-14,1.423798862827861e-12,4.496568679017611e-12,4.937632081327055e-12,1.0404006355682938e-12,2.3634973627848366e-22,7.371934140018999e-23,1.15101940771424e-12,5.698196686972348e-11,0.0,0.0,7.67335127560385e-35
