grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_C2HF(57),Y_CF2CF2(60),Y_CHF2-CH2(63),Y_CH3-CF2(64),Y_CHF2-CHF(66),Y_CH2F-CF2(67),Y_CHF2-CF2(68),Y_HCCO(68),Y_C2H2(70),Y_CHFCF[Z](71),Y_CF2CH(72),Y_CH2CO(75),Y_CHF2(81),Y_CHF(86),Y_CF2(87),Y_CH2F(89),Y_FC1OO1(129),Y_[O]C([O])F(131),Y_CHO2(135),Y_CFO2(136),Y_CF2O2(144),Y_[O]OC(F)F(163),Y_FC(F)C(F)F(164),Y_[O]C(F)F(170),Y_[O]O[C](F)F(171),Y_O2(177),Y_F[C]C(F)F(180),Y_O[C](F)F(232),Y_C2F4O2(248),Y_FC1OC1(F)F(275),Y_F[C]C(F)F(316),Y_C2HFO(390),Y_C2HF4O2(419),Y_CF3O2(433),Y_C2HF3O(474),Y_C2HF(510),Y_C2HFO2(557),Y_C2H2F3O2(649),Y_C2HF2O3(898),Y_FC1(F)OO1(924),Y_C2HF2O(1009),Y_C2H2F3(1097),Y_FC1(F)CO1(1188),Y_C2H3F2O2(1290),Y_[C]#CF(2151),Y_C2HF(2152),Y_C2HFO3(2756)
0.0,0.04310831849911895,298.0,1.282776886765481,0.6081240449301352,5.057465161157319e-23,0.20713970756825326,0.1847362177543665,6.483327004143331e-10,9.288230053756705e-19,6.468146242904858e-15,0.0,2.753821516718663e-08,7.382039286038227e-14,0.0,1.5872015810410923e-10,3.730702576059972e-11,6.160749695946212e-29,0.0,2.2865614644859748e-14,1.3623647774912607e-09,2.6784887292192478e-28,4.518762482047026e-14,5.960123356906427e-14,0.0,0.0,1.4357896501093276e-13,1.0648148300435047e-13,1.5061402284834362e-15,4.571137219426632e-13,0.0,9.061972993254414e-16,0.0,0.0,0.0,9.141646481536664e-29,2.604173862723728e-29,0.0,0.0,1.0522055381034797e-13,5.143217668246035e-17,6.341644166745796e-13,0.0,0.0,1.2291098715034625e-25,1.0871145118367154e-13,0.0,0.0,0.0,0.0,6.046714263586784e-20,0.0,0.0,0.0,0.0,1.3419690068746541e-30,2.5376064008326247e-13,6.459693778037253e-17,1.3794729483829214e-34,0.0,0.0,6.6749302341628085e-18,4.8803307364891066e-14,0.0,0.0,4.6098503757274697e-35,1.0147979018208278e-14,1.5144309331512982e-15,7.773270720041817e-16,2.1266030482403772e-14,0.0,2.722479779874219e-19,2.8274441562262334e-14,4.4089174082468303e-14,0.0,8.367502777227839e-15,1.2209897059601811e-13,2.278411058462836e-27
0.008,0.04310843687694725,298.000265934884,1.2827733641996582,0.6081238944874469,2.622539852128539e-22,0.20713973290038495,0.18473617789234242,1.1464692535768216e-08,1.1552095660958374e-17,1.4359988695425345e-20,1.5803810740570853e-14,1.5355521921516763e-07,1.3872144866054351e-12,0.0,2.981065116056426e-09,9.290583761933674e-10,1.5248844141265687e-27,0.0,8.231395389467214e-22,2.57766564492396e-08,7.33092199857123e-27,1.3572142161232559e-12,2.3921268469374523e-21,0.0,0.0,5.392025523169232e-12,2.0454320927119205e-12,5.232923272016309e-14,7.728791525730223e-13,0.0,2.5055108431163587e-14,0.0,0.0,0.0,3.463502925582034e-27,9.864361071242657e-28,0.0,0.0,1.1224072965763007e-13,1.626981555609059e-15,1.782375984770508e-19,0.0,0.0,1.4008367234292664e-24,5.008902786406236e-13,0.0,0.0,0.0,3.7423067661860907e-29,2.5143044031859853e-18,4.806157593493008e-28,0.0,3.7554308950969457e-14,0.0,5.687944856483753e-29,5.4404244844573836e-18,6.459659509049011e-17,5.367908608928989e-33,0.0,0.0,7.150590964163518e-18,4.867790323821254e-20,0.0,0.0,2.134694834094177e-33,1.0147980612849011e-14,6.353180423504324e-14,4.022764346513102e-14,1.1535253148024192e-12,0.0,1.0399360724193938e-17,5.095334778244841e-19,4.408931018616632e-14,0.0,1.4137130890343002e-20,1.2209985618749664e-13,1.1557720674692527e-25
0.016,0.043109618054158895,298.0052826132157,1.282738217005764,0.6081227484772291,5.336585426010903e-22,0.20713993343799425,0.18473569202708565,2.0282276625483647e-07,2.975391448304978e-18,2.903771863740953e-25,2.0888602794595302e-15,8.562291867316963e-07,5.558354080347408e-12,3.4737558893817575e-12,5.599046196801566e-08,2.298990950338464e-08,1.1378221628277583e-27,1.1311717696796158e-12,5.373075387811292e-27,4.877024895802649e-07,9.362285376602599e-27,4.1068398369192524e-11,9.712478392966336e-29,0.0,1.3096132492309718e-12,2.0070578453278793e-10,3.898773216669234e-11,2.5539205801559966e-13,1.1198853660129471e-11,3.4341325240121467e-12,4.694221267576849e-13,1.3918214229229897e-13,1.2379357022875172e-31,6.39817249712254e-29,2.6327623945581097e-25,7.498332261064342e-26,0.0,0.0,2.747308126623755e-13,8.154454255747855e-15,5.062404338404799e-26,0.0,2.817402306833113e-20,1.0377362922396968e-22,9.697465329208344e-12,0.0,0.0,0.0,2.7723158991121854e-27,1.4533159468279995e-17,1.8526313050323225e-32,3.8735022968813007e-13,3.341391813971844e-12,7.691655830760349e-34,5.549955559719711e-34,5.4432735852085695e-18,6.459749528586904e-17,1.7586832166028313e-33,1.335872273351991e-29,0.0,2.348312146895507e-17,4.899496622090525e-26,0.0,0.0,2.720016963019918e-33,1.0147992781073485e-14,6.353703483747615e-14,4.0229701156393605e-14,1.1535514391377333e-12,1.3707224921152854e-17,1.3939108692381567e-22,9.262680410088311e-24,4.4094686305106136e-14,0.0,2.4148419083010443e-26,1.2210246386967419e-13,1.168714494886954e-31
0.02,0.04311592106208134,298.041394394284,1.282550696814572,0.6081181853068928,6.7460508702264205e-22,0.20714073492465207,0.18473267732980753,1.4961434127320623e-06,4.029716232632767e-18,1.0788973264199805e-24,5.132018615752954e-16,2.4132320078272964e-06,3.7035991838344864e-11,3.0693645667549104e-11,4.359342823255362e-07,2.3038599012533197e-07,3.0683153240167483e-27,1.2417231473774851e-11,9.405882606109937e-26,3.8225136718071355e-06,2.7868036933748093e-26,4.96712932743525e-10,7.735584227556768e-32,1.3890555179685537e-30,2.009790908276607e-11,2.977176637221438e-09,3.075313279208965e-10,3.9301345783734615e-13,1.4126881234240628e-10,4.5310288565384483e-11,5.149367943504504e-12,2.7489884289566733e-12,1.1018552741850152e-29,5.6907690490169656e-27,2.2188001725609695e-23,6.319258403935368e-24,1.6405965259500794e-24,2.9574562154131324e-27,1.7050029571119064e-12,1.1223836135331444e-14,5.11390240850942e-32,1.2618584076448337e-13,2.271755681579028e-20,5.442770574205216e-21,9.174619930555262e-11,9.577839197965399e-33,0.0,1.1799604182028089e-31,1.4537142257517852e-25,3.7120813979960585e-17,1.7781281263649517e-31,5.404236878728927e-12,5.2318707062052934e-11,6.481468480872215e-34,5.2455668473670595e-33,5.4683461180673575e-18,6.462881980452133e-17,2.5141598611535275e-32,2.641218695757741e-28,0.0,2.358007856243882e-16,1.0428822050315462e-31,0.0,0.0,8.145093951180323e-33,1.0148037122156332e-14,6.361773352049715e-14,4.025483682254796e-14,1.1537418678768882e-12,3.0372657199677496e-16,4.180371131074145e-27,1.1552941164439833e-27,4.41793361132815e-14,0.0,8.233410218681706e-32,1.2210460262082656e-13,3.318029938080718e-37
0.022,0.043137739564518704,298.18035062684197,1.2819019997668353,0.6081052409960954,7.494616270461065e-22,0.2071428051924994,0.18472137121616855,6.187978995410813e-06,7.29446282762717e-17,3.2093639985556097e-23,3.0266278851095544e-16,4.526805895329839e-06,1.598126674269099e-10,1.3468343621832133e-10,1.8919868314240245e-06,1.2566888579978322e-06,9.444009978278493e-26,6.870877125496559e-11,1.2561498639942206e-24,1.6688356417956747e-05,1.1767523525297625e-25,3.223511053998331e-09,3.1764691466687643e-31,1.6076326317331283e-28,1.5089380631475618e-10,2.338379033298762e-08,1.3503255298026744e-09,4.4147593274352405e-13,9.844741501707697e-10,3.072989372075919e-10,3.084047980159123e-11,2.0801272688445104e-11,3.2565403346213496e-28,1.6772778531846473e-25,6.697904514127469e-22,1.9075121511660961e-22,5.455186677972992e-23,1.7526293761513625e-26,8.354670671584728e-12,1.0476463480100847e-14,2.315658999645827e-30,8.679721808546685e-13,3.5168407402994675e-19,1.0236412107517378e-19,4.782078143933149e-10,1.7245477083808297e-31,0.0,2.9109179122896205e-30,2.7318714559262274e-24,1.274475009118986e-16,9.518371763275375e-31,4.6278027629426226e-11,4.2743255106119505e-10,1.2447088184809155e-32,2.768489861153971e-32,5.56585667026426e-18,6.494395539686106e-17,2.3774760198045875e-30,2.006681672095839e-27,0.0,1.6683005029457703e-15,7.478483683749215e-33,6.216227776366255e-14,0.0,3.3416699001477733e-32,1.014814179306628e-14,6.427510809568466e-14,4.050471916576419e-14,1.1556809175246651e-12,2.660418539906681e-15,1.713598750544572e-27,8.344336096875006e-28,4.487201502445475e-14,5.454013527675686e-16,9.421212804317047e-32,1.2210680653052333e-13,6.189876529196307e-38
0.023,0.04318349595751785,298.48224703158354,1.2805437218100504,0.6080812488985492,7.893035020999369e-22,0.20714585622710824,0.18469662245550078,1.5862405274739442e-05,5.924945357107477e-16,4.275379409118184e-22,5.372440818788916e-16,6.488484405973808e-06,4.276933978927886e-10,3.6026555353126326e-10,5.043519947319812e-06,4.050179272033785e-06,2.335225449664391e-24,2.2302235288786693e-10,8.143491876424431e-24,4.469808039972875e-05,9.025635507571307e-25,1.2056619365363165e-08,2.2544502264478583e-30,4.901723719234135e-27,6.384216456385088e-10,1.0340222879538228e-07,3.6338723888196047e-09,4.3415801085248397e-13,3.9257476154884305e-09,1.1915524911772265e-09,1.0770058892769252e-10,8.76891714609856e-11,3.45029084767036e-27,1.766467077190255e-24,7.206578649482738e-21,2.0521785720640276e-21,6.15655132705359e-22,3.296068211011318e-25,2.546047391086013e-11,8.409351114320991e-15,7.352515257838937e-29,3.175353606038782e-12,2.8559866086951517e-18,7.26422578610934e-19,1.4845285399860988e-09,1.9202442160306367e-30,0.0,2.0972674551673875e-29,1.9354009358190634e-23,3.7766950067089023e-16,3.095123137540017e-30,2.2293797403673963e-10,1.9563037672765752e-09,1.574389722977533e-31,8.830866151697178e-32,5.783407585149747e-18,6.648241043065105e-17,6.008605167994822e-29,8.534536908786455e-27,0.0,6.8542504443322415e-15,4.812903627994212e-32,3.8384039192345584e-13,0.0,2.3666570652633796e-31,1.0148272623595459e-14,6.711984454513662e-14,4.1814787736426997e-14,1.1662434076967222e-12,1.2815493101001992e-14,1.5271991819659092e-26,1.05168007530695e-27,4.7880395895660793e-14,1.9094574207392072e-14,7.7606369751269655e-31,1.2210934938780544e-13,1.572072139355691e-37
0.024,0.043329045132362756,299.4557989254537,1.2762421725060678,0.6080118112656424,8.2904189880651455e-22,0.2071512221943418,0.1846158143022606,4.559764423616529e-05,6.1882619998040325e-15,9.461818903087498e-21,1.7058293844161369e-15,9.56323637978831e-06,1.2952465602841407e-09,1.0858348037250193e-09,1.5163154494479274e-05,1.5088703626963056e-05,9.004082678944966e-23,8.366892684529793e-10,6.848882401176415e-23,0.00013507951226757845,1.3057772904145238e-23,5.303611792163488e-08,3.4065592320053707e-29,2.2953943534083165e-25,3.2163770657939508e-09,5.471370296712906e-07,1.1043523309470748e-08,3.6523712818323285e-13,1.854439222010406e-08,5.453574734928793e-09,4.3899258435179743e-10,4.3943116860580387e-10,5.112094891837294e-26,2.5674588563796315e-23,1.0583335045110555e-19,3.012822062443161e-20,9.334830874167139e-21,1.2866087357855637e-23,8.965792846118659e-11,4.6660654159775025e-15,3.619725202137156e-27,1.3483950208314966e-11,3.022858003297133e-17,6.356811257755977e-18,5.305057858934072e-09,4.181430308282843e-29,0.0,1.8612031314305e-28,1.6847568804649727e-22,1.4142942503929446e-15,1.2506568430463148e-29,1.2973783841105702e-09,1.0748713052286674e-08,4.917769351419491e-30,3.4440155071963256e-31,6.541094517512635e-18,7.68148521322984e-17,2.2596022207767607e-27,4.401975339846286e-26,0.0,3.353817403720833e-14,6.64006184360346e-31,2.642313491402647e-12,3.89037004800504e-13,3.551550465780095e-30,1.0148355404927551e-14,8.443867333226285e-14,5.139063490959266e-14,1.246562630766279e-12,7.436476258714566e-14,3.730428704470469e-25,1.654994173371535e-26,6.625600382330142e-14,1.5018870140848794e-13,8.303709336002089e-30,1.2211417376403364e-13,1.6632784948756418e-36
0.0245,0.043521649055454546,300.75159819534963,1.2705941975533699,0.6079274042634872,8.459053785819847e-22,0.20715185761461832,0.1845070189201782,8.346403041110778e-05,2.423551298187707e-14,6.175314379758798e-20,3.5253352802097485e-15,1.175122383716202e-05,2.46862430484876e-09,2.044016503970088e-09,2.8577625722029543e-05,3.277028141258137e-05,7.644261629395524e-22,1.825206666055841e-09,2.3237845354945665e-22,0.00025535952901384324,7.180093608953303e-23,1.292019635058173e-07,1.8221794272602728e-28,2.2503388034194143e-24,8.63187838211779e-09,1.5219638717684286e-06,2.0959306491914928e-08,3.0326680914876813e-13,4.752257662822579e-08,1.3662879592105742e-08,1.0140832955945648e-09,1.1746029876163677e-09,2.665730011958922e-25,1.3052550984520724e-22,5.35121425847417e-19,1.5227441020385165e-19,4.7516780135151984e-20,1.1493910235796226e-22,1.877346269564198e-10,2.7266487487949034e-15,3.6928144691318886e-26,3.197999057611558e-11,1.2066056240576671e-16,2.165665571829312e-17,1.1213028117450521e-08,2.8776191991581033e-28,0.0,6.4532673091748415e-28,5.701429629210102e-22,2.895024236093853e-15,3.098133011164838e-29,3.8560860778368e-09,3.073987866438595e-08,5.484101872040593e-29,8.17424872117584e-31,7.696137403918697e-18,1.0392555688546315e-16,1.889891397026244e-26,1.2233098746883865e-25,4.989832161347075e-16,8.817580752006695e-14,3.37459693122203e-30,8.823122743679881e-12,1.6869596127719036e-12,1.882133289971057e-29,1.0147894033891397e-14,1.260002985403357e-13,7.874312584875521e-14,1.4850200182122424e-12,2.2143182260571526e-13,3.0056076028060365e-24,2.537468284606701e-25,1.1049176534667123e-13,5.124018785237213e-13,3.4028310604498927e-29,1.2211670830546333e-13,8.156994719280312e-36
0.025,0.04392497777512105,303.47135792606133,1.258927327333465,0.607764210990224,8.572726746526797e-22,0.2071389861928029,0.18427726923155469,0.0001598178597180646,1.0429956897042246e-13,4.869952491726413e-19,7.399550043533421e-15,1.4542208540554158e-05,4.97380874343541e-09,4.033120528622759e-09,5.658066420360186e-05,7.612168534652278e-05,7.609636388302183e-21,4.259615838481362e-09,8.459194322547377e-22,0.0005070577603181933,4.2298721445889537e-22,3.4179659187858024e-07,1.095352044234039e-27,2.717800966759328e-23,2.5478912003743146e-08,4.678486321314224e-06,4.182496832399919e-08,2.2260429990590014e-13,1.3314898581625703e-07,3.7311014281549537e-08,2.526156337907328e-09,3.4517637843122695e-09,1.7603414304142813e-24,8.177775257997764e-22,3.2455539480106975e-18,9.227961707341732e-19,2.8127586571787685e-19,1.23295245736311e-21,4.186146111129428e-10,1.1951796414538285e-15,4.704229086158503e-25,8.201750967850415e-11,5.41163041673639e-16,7.798077403803383e-17,2.5278761153675617e-08,2.210062038141074e-27,0.0,2.4185537736059682e-27,2.0263053602584418e-21,6.325471094503524e-15,9.699590206292059e-29,1.2786172923612565e-08,9.75038865953582e-08,1.0529131462774239e-27,2.3464787715724126e-30,1.0777807959109958e-17,2.0681081922944052e-16,1.8754000161296772e-25,3.9069077420483804e-25,3.589200748027163e-15,2.543200969184619e-13,1.9561809690190977e-29,3.325896539850123e-11,6.666833598543346e-12,1.1089631845379248e-28,1.0145482048855333e-14,2.717233332535682e-13,1.911628025029083e-13,2.5007636409389113e-12,7.350734853714727e-13,3.2516527072072355e-23,5.423048151554389e-24,2.6604235999584675e-13,1.9564545790485705e-12,1.6171764059995803e-28,1.221137785740369e-13,4.614226775043155e-35
0.025500000000000002,0.04476373816600824,309.1325437989905,1.2353381851824872,0.6074555844249795,8.594756240628993e-22,0.2070768235152334,0.18379890101455926,0.0003116985559456301,4.5425196882239995e-13,4.1844756566441184e-18,1.5522249032654205e-14,1.8072322229261302e-05,1.0361216688898522e-08,8.080986836698816e-09,0.00011435820017586105,0.00018101000131297046,7.789359223927629e-20,1.0170852992283065e-08,3.1246218292909143e-21,0.001026757929379172,2.5361233416989472e-21,9.27028961088326e-07,6.940721058452238e-27,3.6454028541582654e-22,7.71371332563763e-08,1.4751608819816186e-05,8.522238694960495e-08,1.5334051997031544e-13,3.826641917710778e-07,1.0449669641599754e-07,6.448933595345544e-09,1.0406963029304053e-08,1.4864880707379158e-23,6.207547277116083e-21,2.247263055531436e-17,6.3793826314156065e-18,1.7753007191919188e-18,1.3906747222753217e-20,9.551542902081133e-10,3.6084015561368797e-16,6.751354695343506e-24,2.154642163288087e-10,2.5786475106693077e-15,2.7731179215477276e-16,5.842414875906311e-08,1.8477053907921445e-26,0.0,9.464338396479582e-27,7.036019283111989e-21,1.4218613958247563e-14,4.434847628460185e-28,4.3396404691441826e-08,3.1724361680557517e-07,3.028680268168456e-26,8.89119046720688e-30,2.1314689954583196e-17,5.905609440586089e-16,1.9860917995528706e-24,1.4078072527518864e-24,1.4113433314070333e-14,7.523872424804651e-13,1.244371285319054e-28,1.281148589179748e-10,2.548645041428155e-11,6.729648645420587e-28,1.0136354695011687e-14,7.750782263276175e-13,6.461919495973924e-13,6.761407401354935e-12,2.5026742047045706e-12,4.285648899260237e-22,1.2994702227739925e-22,8.050034860444177e-13,7.622698876223693e-12,8.633563249404401e-28,1.2208679550199078e-13,2.8477226702228146e-34
